"Date","CTSLIND"
1991-01-01,0.15
1991-02-01,-1.01
1991-03-01,-0.83
1991-04-01,-0.66
1991-05-01,-1.56
1991-06-01,-1.33
1991-07-01,-0.92
1991-08-01,-0.8
1991-09-01,-0.78
1991-10-01,-0.15
1991-11-01,0.12
1991-12-01,0.1
1992-01-01,-0.17
1992-02-01,0.58
1992-03-01,1.23
1992-04-01,1.5
1992-05-01,1.46
1992-06-01,1.43
1992-07-01,1.63
1992-08-01,0.77
1992-09-01,0.79
1992-10-01,1.07
1992-11-01,1.38
1992-12-01,1.29
1993-01-01,1.62
1993-02-01,2.29
1993-03-01,3.02
1993-04-01,3.24
1993-05-01,3.38
1993-06-01,3.12
1993-07-01,3.27
1993-08-01,3.29
1993-09-01,3.4
1993-10-01,2.75
1993-11-01,2.82
1993-12-01,2.58
1994-01-01,1.43
1994-02-01,1.53
1994-03-01,1.42
1994-04-01,1.57
1994-05-01,1.27
1994-06-01,1.21
1994-07-01,1.2
1994-08-01,1.24
1994-09-01,0.63
1994-10-01,1.56
1994-11-01,1.47
1994-12-01,1.14
1995-01-01,0.9
1995-02-01,0.92
1995-03-01,0.75
1995-04-01,0.69
1995-05-01,0.64
1995-06-01,0.71
1995-07-01,1.49
1995-08-01,1.31
1995-09-01,1.58
1995-10-01,1.84
1995-11-01,1.54
1995-12-01,1.07
1996-01-01,0.72
1996-02-01,1
1996-03-01,0.44
1996-04-01,0.66
1996-05-01,1.1
1996-06-01,1.34
1996-07-01,1.1
1996-08-01,0.65
1996-09-01,0.05
1996-10-01,0.24
1996-11-01,0.19
1996-12-01,0.75
1997-01-01,1.47
1997-02-01,1.31
1997-03-01,1.87
1997-04-01,2.85
1997-05-01,2.61
1997-06-01,2.18
1997-07-01,2.69
1997-08-01,3.11
1997-09-01,3.27
1997-10-01,3.2
1997-11-01,3.07
1997-12-01,2.45
1998-01-01,1.99
1998-02-01,2.55
1998-03-01,2.49
1998-04-01,1.89
1998-05-01,1.9
1998-06-01,2.06
1998-07-01,1.42
1998-08-01,1.6
1998-09-01,1.24
1998-10-01,1.58
1998-11-01,1.96
1998-12-01,2
1999-01-01,1.47
1999-02-01,0.94
1999-03-01,1.58
1999-04-01,1.28
1999-05-01,0.95
1999-06-01,1.52
1999-07-01,1.57
1999-08-01,1.06
1999-09-01,0.9
1999-10-01,0.87
1999-11-01,0.32
1999-12-01,0.5
2000-01-01,1.42
2000-02-01,1.98
2000-03-01,2.18
2000-04-01,2.1
2000-05-01,1.97
2000-06-01,1.9
2000-07-01,1.27
2000-08-01,1.36
2000-09-01,0.9
2000-10-01,0.72
2000-11-01,-0.06
2000-12-01,-0.24
2001-01-01,-1.13
2001-02-01,-1.5
2001-03-01,-1
2001-04-01,-0.98
2001-05-01,0.01
2001-06-01,0.18
2001-07-01,0.82
2001-08-01,0.42
2001-09-01,0.78
2001-10-01,1.09
2001-11-01,1.15
2001-12-01,1.03
2002-01-01,0.51
2002-02-01,0.12
2002-03-01,-0.38
2002-04-01,-0.03
2002-05-01,-0.47
2002-06-01,-0.7
2002-07-01,-0.97
2002-08-01,-0.89
2002-09-01,-0.88
2002-10-01,-0.96
2002-11-01,-0.45
2002-12-01,-0.04
2003-01-01,0.06
2003-02-01,0.03
2003-03-01,0.58
2003-04-01,0.91
2003-05-01,0.55
2003-06-01,0.69
2003-07-01,1.15
2003-08-01,1.25
2003-09-01,1.8
2003-10-01,1.8
2003-11-01,2.14
2003-12-01,1.6
2004-01-01,2.04
2004-02-01,1.61
2004-03-01,2.02
2004-04-01,1.5
2004-05-01,1.82
2004-06-01,1.29
2004-07-01,1.69
2004-08-01,2.07
2004-09-01,1.46
2004-10-01,0.95
2004-11-01,1.02
2004-12-01,0.99
2005-01-01,0.29
2005-02-01,0.73
2005-03-01,0.2
2005-04-01,0.74
2005-05-01,0.81
2005-06-01,1.13
2005-07-01,1.68
2005-08-01,1.37
2005-09-01,1.87
2005-10-01,1.45
2005-11-01,1.51
2005-12-01,1.66
2006-01-01,2.14
2006-02-01,1.8
2006-03-01,1.08
2006-04-01,1.62
2006-05-01,1.24
2006-06-01,0.77
2006-07-01,0.65
2006-08-01,0.83
2006-09-01,0.5
2006-10-01,0.51
2006-11-01,0.65
2006-12-01,0.92
2007-01-01,0.82
2007-02-01,0.61
2007-03-01,0.55
2007-04-01,0.67
2007-05-01,0.73
2007-06-01,0.67
2007-07-01,0.14
2007-08-01,-0.25
2007-09-01,-0.26
2007-10-01,-0.19
2007-11-01,-0.09
2007-12-01,-0.11
2008-01-01,0.51
2008-02-01,0.15
2008-03-01,-0.06
2008-04-01,-0.29
2008-05-01,-0.2
2008-06-01,-0.75
2008-07-01,-1.31
2008-08-01,-1.52
2008-09-01,-1.42
2008-10-01,-1.41
2008-11-01,-0.73
2008-12-01,-0.91
2009-01-01,-1.88
2009-02-01,-1.73
2009-03-01,-1.5
2009-04-01,-1.47
2009-05-01,-0.96
2009-06-01,-1
2009-07-01,-1.02
2009-08-01,-0.11
2009-09-01,-0.03
2009-10-01,0.08
2009-11-01,-0.53
2009-12-01,-0.21
2010-01-01,-0.86
2010-02-01,0.38
2010-03-01,0.79
2010-04-01,1.34
2010-05-01,1.5
2010-06-01,1.16
2010-07-01,1.34
2010-08-01,1.1
2010-09-01,0.31
2010-10-01,0.54
2010-11-01,0.43
2010-12-01,0.77
2011-01-01,1.61
2011-02-01,1.66
2011-03-01,1.3
2011-04-01,1.88
2011-05-01,2.04
2011-06-01,2
2011-07-01,2.06
2011-08-01,2.14
2011-09-01,2.15
2011-10-01,2.08
2011-11-01,2.15
2011-12-01,2.08
2012-01-01,2.18
2012-02-01,1.56
2012-03-01,0.56
2012-04-01,0.64
2012-05-01,0.49
2012-06-01,0.19
2012-07-01,0.79
2012-08-01,1.07
2012-09-01,1.79
2012-10-01,1.49
2012-11-01,1.73
2012-12-01,2.2
2013-01-01,1.72
2013-02-01,1.6
2013-03-01,1.42
2013-04-01,1.95
2013-05-01,2.28
2013-06-01,1.69
2013-07-01,1.84
2013-08-01,1.45
2013-09-01,1.65
2013-10-01,2.73
2013-11-01,2.55
2013-12-01,2.13
2014-01-01,2.23
2014-02-01,2.91
2014-03-01,2.66
2014-04-01,2.3
2014-05-01,2.07
2014-06-01,2
2014-07-01,2.06
2014-08-01,1.49
2014-09-01,1.74
2014-10-01,1.38
2014-11-01,1.76
2014-12-01,2.24
2015-01-01,2.22
2015-02-01,1.92
2015-03-01,1.9
2015-04-01,1.98
2015-05-01,2.15
2015-06-01,1.45
2015-07-01,1.62
2015-08-01,1.43
2015-09-01,1.3
2015-10-01,1.29
2015-11-01,1.18
2015-12-01,1.81
2016-01-01,1.52
2016-02-01,1.95
2016-03-01,1.65
2016-04-01,1.73
2016-05-01,1.31
2016-06-01,1.67
2016-07-01,1.49
2016-08-01,1.67
2016-09-01,1.9
2016-10-01,2.1
2016-11-01,1.47
2016-12-01,1.61
2017-01-01,1.45
2017-02-01,1.09
2017-03-01,0.96
2017-04-01,0.92
2017-05-01,0.9
2017-06-01,1.63
2017-07-01,1.35
2017-08-01,1.84
2017-09-01,1.43
2017-10-01,0.92
2017-11-01,0.67
2017-12-01,0.59
2018-01-01,1.52
2018-02-01,1.35
2018-03-01,1.52
2018-04-01,1.71
2018-05-01,1.82
2018-06-01,1.45
2018-07-01,1.46
2018-08-01,1.73
2018-09-01,1.2
2018-10-01,1.5
2018-11-01,1.04
2018-12-01,0.74
2019-01-01,1.22
2019-02-01,1.17
2019-03-01,1.57
2019-04-01,1.14
2019-05-01,0.77
2019-06-01,0.46
2019-07-01,0.66
2019-08-01,0.74
2019-09-01,0.7
2019-10-01,0.07
2019-11-01,0.42
2019-12-01,0.89
2020-01-01,1.86
2020-02-01,1.11
