"Date","WYSLIND"
1996-11-01,0.59
1996-12-01,0.39
1997-01-01,0.88
1997-02-01,1.11
1997-03-01,1.68
1997-04-01,1.34
1997-05-01,1.48
1997-06-01,1.22
1997-07-01,1.66
1997-08-01,1.89
1997-09-01,1.48
1997-10-01,1.39
1997-11-01,1.79
1997-12-01,1.48
1998-01-01,1.03
1998-02-01,0.93
1998-03-01,0.84
1998-04-01,1.33
1998-05-01,1.28
1998-06-01,0.74
1998-07-01,0.72
1998-08-01,0.82
1998-09-01,0.68
1998-10-01,0.79
1998-11-01,0.84
1998-12-01,0.44
1999-01-01,0.58
1999-02-01,0.59
1999-03-01,1.71
1999-04-01,1.35
1999-05-01,1.21
1999-06-01,1.16
1999-07-01,1.73
1999-08-01,1.48
1999-09-01,2.13
1999-10-01,2.37
1999-11-01,2.08
1999-12-01,1.91
2000-01-01,1.81
2000-02-01,1.56
2000-03-01,0.98
2000-04-01,1.13
2000-05-01,1.48
2000-06-01,1.06
2000-07-01,0.7
2000-08-01,1.16
2000-09-01,0.7
2000-10-01,1.04
2000-11-01,1
2000-12-01,2.01
2001-01-01,1.65
2001-02-01,1.58
2001-03-01,1.19
2001-04-01,1.04
2001-05-01,0.34
2001-06-01,0.6
2001-07-01,0.91
2001-08-01,1.21
2001-09-01,0.6
2001-10-01,0.49
2001-11-01,0.35
2001-12-01,0.66
2002-01-01,-0.55
2002-02-01,-0.25
2002-03-01,-0.3
2002-04-01,0.42
2002-05-01,0.66
2002-06-01,1.15
2002-07-01,1.1
2002-08-01,0.03
2002-09-01,0.45
2002-10-01,0.33
2002-11-01,0.58
2002-12-01,0.44
2003-01-01,0.68
2003-02-01,0.56
2003-03-01,0.31
2003-04-01,0.82
2003-05-01,1.08
2003-06-01,1.2
2003-07-01,0.93
2003-08-01,1.76
2003-09-01,1.02
2003-10-01,1.13
2003-11-01,0.75
2003-12-01,1.22
2004-01-01,1.53
2004-02-01,1.62
2004-03-01,2.12
2004-04-01,3.23
2004-05-01,2.39
2004-06-01,1.8
2004-07-01,1.73
2004-08-01,1.51
2004-09-01,0.87
2004-10-01,1.11
2004-11-01,1.58
2004-12-01,1.54
2005-01-01,0.96
2005-02-01,2.08
2005-03-01,1.67
2005-04-01,0.91
2005-05-01,0.23
2005-06-01,0.27
2005-07-01,1.33
2005-08-01,1.12
2005-09-01,2.03
2005-10-01,1.7
2005-11-01,1.98
2005-12-01,1.51
2006-01-01,2.38
2006-02-01,2.39
2006-03-01,2.53
2006-04-01,2.21
2006-05-01,1.68
2006-06-01,1.72
2006-07-01,0.72
2006-08-01,1.11
2006-09-01,1.22
2006-10-01,1.39
2006-11-01,1.4
2006-12-01,2.45
2007-01-01,2.17
2007-02-01,1.81
2007-03-01,1.6
2007-04-01,0.6
2007-05-01,0.81
2007-06-01,0.35
2007-07-01,0.81
2007-08-01,1.12
2007-09-01,1.1
2007-10-01,1.23
2007-11-01,1.21
2007-12-01,1.64
2008-01-01,0.99
2008-02-01,0.6
2008-03-01,0.76
2008-04-01,1.19
2008-05-01,1.11
2008-06-01,0.79
2008-07-01,0.78
2008-08-01,-0.2
2008-09-01,-0.4
2008-10-01,-0.62
2008-11-01,-1.37
2008-12-01,-3.02
2009-01-01,-3.77
2009-02-01,-4.43
2009-03-01,-5.21
2009-04-01,-4.19
2009-05-01,-2
2009-06-01,-1.15
2009-07-01,-0.53
2009-08-01,0.38
2009-09-01,1.44
2009-10-01,1.06
2009-11-01,0.94
2009-12-01,0.89
2010-01-01,1.44
2010-02-01,1.38
2010-03-01,2.54
2010-04-01,2.46
2010-05-01,2.32
2010-06-01,1.67
2010-07-01,1.41
2010-08-01,1.22
2010-09-01,0.82
2010-10-01,0.54
2010-11-01,0.82
2010-12-01,1.14
2011-01-01,1.19
2011-02-01,1.45
2011-03-01,1.87
2011-04-01,1.92
2011-05-01,1.6
2011-06-01,0.91
2011-07-01,0.56
2011-08-01,1.21
2011-09-01,1
2011-10-01,1
2011-11-01,0.82
2011-12-01,1.03
2012-01-01,1.57
2012-02-01,1.78
2012-03-01,1.88
2012-04-01,1.57
2012-05-01,0.38
2012-06-01,0.17
2012-07-01,0.37
2012-08-01,0.13
2012-09-01,0.62
2012-10-01,0.44
2012-11-01,0.75
2012-12-01,1.05
2013-01-01,1.16
2013-02-01,1.31
2013-03-01,1.1
2013-04-01,0.49
2013-05-01,1.14
2013-06-01,1.09
2013-07-01,1.44
2013-08-01,0.92
2013-09-01,0.99
2013-10-01,0.4
2013-11-01,1.31
2013-12-01,0.91
2014-01-01,2.01
2014-02-01,1.95
2014-03-01,2.29
2014-04-01,1.93
2014-05-01,1.46
2014-06-01,1.21
2014-07-01,1.04
2014-08-01,0.98
2014-09-01,0.68
2014-10-01,0.7
2014-11-01,0.45
2014-12-01,1.36
2015-01-01,1.06
2015-02-01,0.24
2015-03-01,-0.49
2015-04-01,-0.28
2015-05-01,0.13
2015-06-01,-0.09
2015-07-01,0.01
2015-08-01,0.61
2015-09-01,0.57
2015-10-01,-0.27
2015-11-01,-0.27
2015-12-01,-0.96
2016-01-01,-0.95
2016-02-01,-1.45
2016-03-01,-1.17
2016-04-01,-0.56
2016-05-01,0.61
2016-06-01,1.32
2016-07-01,1.94
2016-08-01,1.71
2016-09-01,1.45
2016-10-01,2.03
2016-11-01,2.51
2016-12-01,2.2
2017-01-01,1.83
2017-02-01,2.67
2017-03-01,2.78
2017-04-01,2.75
2017-05-01,1.68
2017-06-01,1.69
2017-07-01,1.02
2017-08-01,1.42
2017-09-01,2.06
2017-10-01,1.57
2017-11-01,0.86
2017-12-01,1.52
2018-01-01,1.84
2018-02-01,1.83
2018-03-01,2.01
2018-04-01,1.79
2018-05-01,1.72
2018-06-01,2.02
2018-07-01,2.03
2018-08-01,1.88
2018-09-01,1.48
2018-10-01,2.11
2018-11-01,2.13
2018-12-01,0.99
2019-01-01,1.13
2019-02-01,1.15
2019-03-01,1.52
2019-04-01,1.46
2019-05-01,1.69
2019-06-01,0.81
2019-07-01,0.14
2019-08-01,0.49
2019-09-01,0.78
2019-10-01,1.14
2019-11-01,0.66
2019-12-01,0.83
2020-01-01,0.96
2020-02-01,1
