"Date","DESLIND"
2012-11-01,1.47
2012-12-01,2.11
2013-01-01,1.4
2013-02-01,1.94
2013-03-01,1.54
2013-04-01,1.89
2013-05-01,1.97
2013-06-01,1.95
2013-07-01,2.75
2013-08-01,2.23
2013-09-01,1.76
2013-10-01,1.88
2013-11-01,1.96
2013-12-01,1.09
2014-01-01,1.98
2014-02-01,1.39
2014-03-01,1.8
2014-04-01,1.47
2014-05-01,2.07
2014-06-01,2.12
2014-07-01,2.1
2014-08-01,2.05
2014-09-01,2.04
2014-10-01,2.24
2014-11-01,2.07
2014-12-01,1.93
2015-01-01,1.92
2015-02-01,1.73
2015-03-01,1.27
2015-04-01,1.4
2015-05-01,1.62
2015-06-01,1.32
2015-07-01,1.88
2015-08-01,1.54
2015-09-01,1.24
2015-10-01,1.89
2015-11-01,1.54
2015-12-01,1.2
2016-01-01,1.58
2016-02-01,1.61
2016-03-01,1.75
2016-04-01,1.54
2016-05-01,1.04
2016-06-01,1.28
2016-07-01,1.31
2016-08-01,1.17
2016-09-01,1.15
2016-10-01,1.08
2016-11-01,1.3
2016-12-01,0.56
2017-01-01,1.21
2017-02-01,1.25
2017-03-01,1.31
2017-04-01,1.19
2017-05-01,1.13
2017-06-01,2.12
2017-07-01,1.58
2017-08-01,1.79
2017-09-01,1.17
2017-10-01,1.57
2017-11-01,1.38
2017-12-01,1.68
2018-01-01,1.93
2018-02-01,1.35
2018-03-01,1.56
2018-04-01,1.79
2018-05-01,1.44
2018-06-01,1.55
2018-07-01,1.67
2018-08-01,1.05
2018-09-01,1.6
2018-10-01,1.36
2018-11-01,1.64
2018-12-01,1.23
2019-01-01,1.25
2019-02-01,1.13
2019-03-01,0.66
2019-04-01,0.56
2019-05-01,0.42
2019-06-01,0.87
2019-07-01,0.65
2019-08-01,0.45
2019-09-01,0.69
2019-10-01,0.56
2019-11-01,0.89
2019-12-01,1.02
2020-01-01,1.38
2020-02-01,1.91
