"Date","SCSLIND"
2005-03-01,2.01
2005-04-01,2.93
2005-05-01,1.52
2005-06-01,1.01
2005-07-01,1.3
2005-08-01,2
2005-09-01,0.8
2005-10-01,1.51
2005-11-01,2.42
2005-12-01,1.84
2006-01-01,3.18
2006-02-01,2.78
2006-03-01,1.45
2006-04-01,1.13
2006-05-01,0.07
2006-06-01,0.08
2006-07-01,1.47
2006-08-01,2.47
2006-09-01,1.95
2006-10-01,1.64
2006-11-01,2.05
2006-12-01,2.5
2007-01-01,2.9
2007-02-01,2.12
2007-03-01,1.69
2007-04-01,1.42
2007-05-01,0.91
2007-06-01,0.96
2007-07-01,0.76
2007-08-01,0.77
2007-09-01,1.36
2007-10-01,0.87
2007-11-01,0.94
2007-12-01,1.05
2008-01-01,1.27
2008-02-01,0.9
2008-03-01,0.47
2008-04-01,-0.92
2008-05-01,-1.3
2008-06-01,-1.13
2008-07-01,-1.38
2008-08-01,-1.73
2008-09-01,-1.91
2008-10-01,-3
2008-11-01,-4.14
2008-12-01,-4.05
2009-01-01,-4.06
2009-02-01,-4.33
2009-03-01,-2.07
2009-04-01,-0.52
2009-05-01,1.58
2009-06-01,2.08
2009-07-01,2.46
2009-08-01,2.43
2009-09-01,2.16
2009-10-01,1.24
2009-11-01,2.18
2009-12-01,1.29
2010-01-01,1.45
2010-02-01,1.7
2010-03-01,3.17
2010-04-01,3.09
2010-05-01,3.36
2010-06-01,2.25
2010-07-01,1.94
2010-08-01,1.49
2010-09-01,-0.19
2010-10-01,0.57
2010-11-01,2.29
2010-12-01,1.83
2011-01-01,1.85
2011-02-01,1.91
2011-03-01,2.43
2011-04-01,2.01
2011-05-01,1.29
2011-06-01,0.68
2011-07-01,1.12
2011-08-01,1.82
2011-09-01,2.32
2011-10-01,3.3
2011-11-01,2.85
2011-12-01,2.76
2012-01-01,3.46
2012-02-01,2.42
2012-03-01,2.01
2012-04-01,2.19
2012-05-01,1.3
2012-06-01,2.17
2012-07-01,3.31
2012-08-01,3.45
2012-09-01,2.28
2012-10-01,2.87
2012-11-01,2.41
2012-12-01,2.19
2013-01-01,2.21
2013-02-01,1.62
2013-03-01,2.52
2013-04-01,2.64
2013-05-01,2.87
2013-06-01,2.53
2013-07-01,2.85
2013-08-01,3.12
2013-09-01,3.02
2013-10-01,3.11
2013-11-01,2.68
2013-12-01,3.07
2014-01-01,3.03
2014-02-01,1.66
2014-03-01,2.26
2014-04-01,0.77
2014-05-01,1.05
2014-06-01,1.02
2014-07-01,0.85
2014-08-01,1.13
2014-09-01,1.3
2014-10-01,2.06
2014-11-01,2.95
2014-12-01,2.59
2015-01-01,1.18
2015-02-01,1.94
2015-03-01,1.73
2015-04-01,2.14
2015-05-01,2.86
2015-06-01,2.93
2015-07-01,2.51
2015-08-01,1.88
2015-09-01,3.04
2015-10-01,1.13
2015-11-01,1.32
2015-12-01,1.82
2016-01-01,2.02
2016-02-01,1.89
2016-03-01,2.42
2016-04-01,2.77
2016-05-01,1.55
2016-06-01,1.8
2016-07-01,2.31
2016-08-01,2.45
2016-09-01,2.53
2016-10-01,1.71
2016-11-01,1.51
2016-12-01,2.2
2017-01-01,2.51
2017-02-01,2.39
2017-03-01,1.82
2017-04-01,1.97
2017-05-01,1.65
2017-06-01,1.56
2017-07-01,1.28
2017-08-01,1.46
2017-09-01,2.01
2017-10-01,2.47
2017-11-01,2.38
2017-12-01,2.26
2018-01-01,2.61
2018-02-01,2.37
2018-03-01,2.58
2018-04-01,2.37
2018-05-01,1.78
2018-06-01,1.42
2018-07-01,1.95
2018-08-01,1.65
2018-09-01,0.61
2018-10-01,1.46
2018-11-01,1.55
2018-12-01,0.87
2019-01-01,1.34
2019-02-01,1.49
2019-03-01,1.17
2019-04-01,2.05
2019-05-01,3.32
2019-06-01,3.26
2019-07-01,3.05
2019-08-01,2.62
2019-09-01,1.88
2019-10-01,1.05
2019-11-01,1.19
2019-12-01,1.21
2020-01-01,1.59
2020-02-01,0.82
