"Date","ALSLIND"
2007-07-01,-0.56
2007-08-01,-0.5
2007-09-01,-0.59
2007-10-01,-0.27
2007-11-01,-0.07
2007-12-01,0.36
2008-01-01,-0.05
2008-02-01,-0.53
2008-03-01,-0.44
2008-04-01,-0.94
2008-05-01,-2.13
2008-06-01,-1.01
2008-07-01,-1.39
2008-08-01,-1.9
2008-09-01,-1.48
2008-10-01,-3.62
2008-11-01,-5.89
2008-12-01,-5.43
2009-01-01,-5.8
2009-02-01,-4.86
2009-03-01,-4.18
2009-04-01,-2.44
2009-05-01,-0.47
2009-06-01,-0.27
2009-07-01,1.19
2009-08-01,1.34
2009-09-01,1.36
2009-10-01,1.06
2009-11-01,2.01
2009-12-01,2.12
2010-01-01,2.07
2010-02-01,2.6
2010-03-01,3.57
2010-04-01,6.81
2010-05-01,5.45
2010-06-01,3.07
2010-07-01,1.02
2010-08-01,0.54
2010-09-01,-0.5
2010-10-01,-0.41
2010-11-01,0.56
2010-12-01,0.32
2011-01-01,1.95
2011-02-01,2.08
2011-03-01,2.41
2011-04-01,2.21
2011-05-01,1.31
2011-06-01,1.06
2011-07-01,2.42
2011-08-01,3.77
2011-09-01,3.86
2011-10-01,4.8
2011-11-01,4.56
2011-12-01,2.71
2012-01-01,1.74
2012-02-01,1.39
2012-03-01,-0.13
2012-04-01,-0.84
2012-05-01,-0.17
2012-06-01,0.43
2012-07-01,2.15
2012-08-01,2.87
2012-09-01,2.99
2012-10-01,2.09
2012-11-01,2.32
2012-12-01,1.03
2013-01-01,1.27
2013-02-01,1.54
2013-03-01,1.66
2013-04-01,1.63
2013-05-01,2.06
2013-06-01,1.74
2013-07-01,-0.22
2013-08-01,0.73
2013-09-01,0.53
2013-10-01,1.19
2013-11-01,1.04
2013-12-01,0.21
2014-01-01,1.61
2014-02-01,1.46
2014-03-01,1.12
2014-04-01,2.13
2014-05-01,2.44
2014-06-01,2.32
2014-07-01,3.09
2014-08-01,2.03
2014-09-01,1.8
2014-10-01,2.02
2014-11-01,2.84
2014-12-01,2.72
2015-01-01,2.05
2015-02-01,1.13
2015-03-01,0.07
2015-04-01,0.94
2015-05-01,0.62
2015-06-01,0.65
2015-07-01,1.05
2015-08-01,2.2
2015-09-01,1.62
2015-10-01,1.62
2015-11-01,1.37
2015-12-01,0.77
2016-01-01,0.88
2016-02-01,2.06
2016-03-01,1.44
2016-04-01,1.45
2016-05-01,1.1
2016-06-01,0.79
2016-07-01,0.97
2016-08-01,1.14
2016-09-01,0.05
2016-10-01,0.75
2016-11-01,2.06
2016-12-01,2.44
2017-01-01,3.76
2017-02-01,3.13
2017-03-01,3.65
2017-04-01,2.73
2017-05-01,2.55
2017-06-01,2.47
2017-07-01,1.72
2017-08-01,1.55
2017-09-01,1.67
2017-10-01,2.35
2017-11-01,1.34
2017-12-01,1.18
2018-01-01,1.52
2018-02-01,1.45
2018-03-01,0.42
2018-04-01,1.42
2018-05-01,1.77
2018-06-01,1.87
2018-07-01,1.57
2018-08-01,2.61
2018-09-01,2.89
2018-10-01,2.46
2018-11-01,1.31
2018-12-01,1.84
2019-01-01,1.55
2019-02-01,1.64
2019-03-01,2.8
2019-04-01,2.13
2019-05-01,2.19
2019-06-01,1.87
2019-07-01,1.73
2019-08-01,0.84
2019-09-01,1.55
2019-10-01,1.12
2019-11-01,0.92
2019-12-01,0.87
2020-01-01,0.96
2020-02-01,1.21
