"","id","realtime_start","realtime_end","title","observation_start","observation_end","frequency","frequency_short","units","units_short","seasonal_adjustment","seasonal_adjustment_short","last_updated","popularity","group_popularity","notes"
"11","REAINTRATREARAT1YE","2023-12-17","2023-12-17","1-Year Real Interest Rate","1982-01-01","2023-12-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-13 15:18:03-06",66,66,"The Federal Reserve Bank of Cleveland estimates the expected rate of inflation over the next 30 years along with the inflation risk premium, the real risk premium, and the real interest rate.

Their estimates are calculated with a model that uses Treasury yields, inflation data, inflation swaps, and survey-based measures of inflation expectations.

For more information, please visit the <a href=""https://www.clevelandfed.org/indicators-and-data/inflation-expectations#background"">Federal Reserve Bank of Cleveland<a/>."
"12","EXPINF10YR","2023-12-17","2023-12-17","10-Year Expected Inflation","1982-01-01","2023-12-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-13 15:18:03-06",65,65,"The Federal Reserve Bank of Cleveland estimates the expected rate of inflation over the next 30 years along with the inflation risk premium, the real risk premium, and the real interest rate.

Their estimates are calculated with a model that uses Treasury yields, inflation data, inflation swaps, and survey-based measures of inflation expectations.

For more information, please visit the <a href=""https://www.clevelandfed.org/indicators-and-data/inflation-expectations#background"">Federal Reserve Bank of Cleveland<a/>."
"13","EXPINF1YR","2023-12-17","2023-12-17","1-Year Expected Inflation","1982-01-01","2023-12-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-13 15:18:04-06",64,64,"The Federal Reserve Bank of Cleveland estimates the expected rate of inflation over the next 30 years along with the inflation risk premium, the real risk premium, and the real interest rate.

Their estimates are calculated with a model that uses Treasury yields, inflation data, inflation swaps, and survey-based measures of inflation expectations.

For more information, please visit the <a href=""https://www.clevelandfed.org/indicators-and-data/inflation-expectations#background"">Federal Reserve Bank of Cleveland<a/>."
"14","USSLIND","2023-12-17","2023-12-17","Leading Index for the United States","1982-01-01","2020-02-01","Monthly","M","Percent","%","Seasonally Adjusted","SA","2020-04-14 09:16:10-05",64,64,"The leading index for each state predicts the six-month growth rate of the state's coincident index. In addition to the coincident index, the models include other variables that lead the economy: state-level housing permits (1 to 4 units), state initial unemployment insurance claims, delivery times from the Institute for Supply Management (ISM) manufacturing survey, and the interest rate spread between the 10-year Treasury bond and the 3-month Treasury bill."
"15","PI","2023-12-17","2023-12-17","Personal Income","1959-01-01","2023-10-01","Monthly","M","Billions of Dollars","Bil. of $","Seasonally Adjusted Annual Rate","SAAR","2023-11-30 07:44:14-06",64,65,"BEA Account Code: A065RC
Personal income is the income that persons receive in return for their provision of labor, land, and capital used in current production and the net current transfer payments that they receive from business and from government.25 Personal income is equal to national income minus corporate profits with inventory valuation and capital consumption adjustments, taxes on production and imports less subsidies, contributions for government social insurance, net interest and miscellaneous payments on assets, business current transfer payments (net), current surplus of government enterprises, and wage accruals less disbursements, plus personal income receipts on assets and personal current transfer receipts.
A Guide to the National Income and Product Accounts of the United States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)"
"16","HQMCB10YR","2023-12-17","2023-12-17","10-Year High Quality Market (HQM) Corporate Bond Spot Rate","1984-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-10 14:30:02-06",64,64,"The spot rate for any maturity is defined as the yield on a bond that gives a single payment at that maturity. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.

The HQM methodology projects yields beyond 30 years maturity out to 100 years maturity to get discount rates for long-dated pension liabilities.

Visit the Treasury (https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx) for more information."
"17","TERMCBAUTO48NS","2023-12-17","2023-12-17","Finance Rate on Consumer Installment Loans at Commercial Banks, New Autos 48 Month Loan","1972-02-01","2023-08-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-10-06 14:02:02-05",61,61,"For further information, please refer to the Board of Governors of the Federal Reserve System's G.19 release, online at http://www.federalreserve.gov/releases/g19/."
"18","T30YIEM","2023-12-17","2023-12-17","30-year Breakeven Inflation Rate","2010-02-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 16:01:23-06",61,61,"The breakeven inflation rate represents a measure of expected inflation derived from 30-Year Treasury Constant Maturity Securities (BC_30YEAR) and 30-Year Treasury Inflation-Indexed Constant Maturity Securities (TC_30YEAR). The latest value implies what market participants expect inflation to be in the next 30 years, on average.
Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
"19","EXPINF2YR","2023-12-17","2023-12-17","2-Year Expected Inflation","1982-01-01","2023-12-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-13 15:18:05-06",59,59,"The Federal Reserve Bank of Cleveland estimates the expected rate of inflation over the next 30 years along with the inflation risk premium, the real risk premium, and the real interest rate.

Their estimates are calculated with a model that uses Treasury yields, inflation data, inflation swaps, and survey-based measures of inflation expectations.

For more information, please visit the <a href=""https://www.clevelandfed.org/indicators-and-data/inflation-expectations#background"">Federal Reserve Bank of Cleveland<a/>."
"20","HQMCB10YRP","2023-12-17","2023-12-17","10-Year High Quality Market (HQM) Corporate Bond Par Yield","1984-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-10 14:30:02-06",57,57,"The basic type of selected bond is analogous to conventional Treasury coupon issues: a bond that pays a fixed semiannual nominal coupon denominated in U.S. dollars until maturity, when the principal is returned. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market. 

 For more information see https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx"
"21","T10Y2YM","2023-12-17","2023-12-17","10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity","1976-06-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 16:01:24-06",57,100,"Series is calculated as the spread between 10-Year Treasury Constant Maturity (BC_10YEARM) and 2-Year Treasury Constant Maturity (BC_2YEARM).
Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
"22","RIFLPBCIANM60NM","2023-12-17","2023-12-17","Finance Rate on Consumer Installment Loans at Commercial Banks, New Autos 60 Month Loan","2006-08-01","2023-08-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-10-06 14:02:05-05",56,56,"For further information, please refer to the Board of Governors of the Federal Reserve System's G.19 release, online at http://www.federalreserve.gov/releases/g19/."
"23","EXPINF30YR","2023-12-17","2023-12-17","30-Year Expected Inflation","1982-01-01","2023-12-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-13 15:18:05-06",55,55,"The Federal Reserve Bank of Cleveland estimates the expected rate of inflation over the next 30 years along with the inflation risk premium, the real risk premium, and the real interest rate.

Their estimates are calculated with a model that uses Treasury yields, inflation data, inflation swaps, and survey-based measures of inflation expectations.

For more information, please visit the <a href=""https://www.clevelandfed.org/indicators-and-data/inflation-expectations#background"">Federal Reserve Bank of Cleveland<a/>."
"24","IR3TIB01USM156N","2023-12-17","2023-12-17","Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for United States","1964-06-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-12 14:48:03-06",55,55,"OECD Descriptor ID: IR3TIB01
OECD unit ID: PC
OECD country ID: USA

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
"25","MPRIME","2023-12-17","2023-12-17","Bank Prime Loan Rate","1949-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 15:25:16-06",54,73,"Averages of daily figures.
Rate posted by a majority of top 25 (by assets in domestic offices) insured U.S.-chartered commercial banks. Prime is one of several base rates used by banks to price short-term business loans."
"26","MMTY","2023-12-17","2023-12-17","Treasury Yield: Money Market","2021-04-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-11-20 13:01:05-06",54,54,"On December 15, 2020, the FDIC Board of Directors approved a Final Rule (https://www.fdic.gov/news/board/2020/2020-12-15-notice-dis-a-fr.pdf) making certain revisions to the interest rate restrictions applicable to less than well capitalized institutions (as defined in Section 38 of the Federal Deposit Insurance Act), which are effective on April 1, 2021. The interest rate restrictions generally limit a less than well capitalized institution from soliciting deposits by offering rates that significantly exceed rates in its prevailing market.

The Final Rule redefined the ""national rate"" as the average of rates paid by all insured depository institutions and credit unions for which data is available, with rates weighted by each institution's share of domestic deposits. The ""national rate cap"" is calculated as the higher of: (1) the national rate plus 75 basis points; or (2) 120 percent of the current yield on similar maturity U.S. Treasury obligations plus 75 basis points. The national rate cap for non-maturity deposits is the higher of the national rate plus 75 basis points or the federal funds rate plus 75 basis points.

A less than well capitalized institution may use the ""local rate cap"" in place of the national rate cap for deposits gathered from within the institution's local market area. The Final Rule redefined the ""local rate cap"" for a particular deposit product as 90 percent of the highest rate offered on the deposit product by an institution or credit union accepting deposits at a physical location within the institution's local market area.

In accordance with Section 337.7(d), an insured depository institution that seeks to pay a rate of interest up to its local market rate cap shall provide notice and evidence of the highest rate paid on a particular deposit product in the institution's local market areas to the appropriate FDIC regional director. The institution shall update its evidence and calculations for existing and new accounts monthly unless otherwise instructed by the appropriate FDIC regional director, and retain such information available for at least the two most recent examination cycles and, upon the FDIC's request, provide the documentation to the appropriate FDIC regional office and to examination staff during any subsequent examinations."
"27","B069RC1","2023-12-17","2023-12-17","Personal interest payments","1959-01-01","2023-10-01","Monthly","M","Billions of Dollars","Bil. of $","Seasonally Adjusted Annual Rate","SAAR","2023-11-30 07:44:18-06",53,54,"BEA Account Code: B069RC
A Guide to the National Income and Product Accounts of the United States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)"
"28","AMBSL","2023-12-17","2023-12-17","St. Louis Adjusted Monetary Base (DISCONTINUED)","1918-01-01","2019-11-01","Monthly","M","Billions of Dollars","Bil. of $","Seasonally Adjusted","SA","2019-12-13 10:23:01-06",52,56,"Updates of this series will be ceased on December 20, 2019. Interested users can access the not seasonally adjusted version of this series from the H.3 release, BOGMBASE (https://fred.stlouisfed.org/series/BOGMBASE).
For more details, see the FRED Announcement (https://news.research.stlouisfed.org/2019/12/discontinuance-of-st-louis-monetary-base-and-reserves-data/)."
"29","MVMTD027MNFRBDAL","2023-12-17","2023-12-17","Market Value of Marketable Treasury Debt","1942-01-01","2023-11-01","Monthly","M","Billions of Dollars","Bil. of $","Not Seasonally Adjusted","NSA","2023-12-13 14:34:01-06",52,52,"For many uses, market value more accurately represents the debt burden faced by the U.S. government than the par value. The par value of government debt, which is reported by the U.S. Treasury Department, reflects interest rates at the time the debt was issued while the market value is adjusted to reflect market interest rates as of the observed period. Federal Reserve Bank of Dallas researchers calculates the market value of U.S. government debt series. For further information visit http://www.dallasfed.org/research/econdata/govdebt.cfm."
"30","T20YIEM","2023-12-17","2023-12-17","20-year Breakeven Inflation Rate","2004-07-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 16:01:25-06",50,50,"The breakeven inflation rate represents a measure of expected inflation derived from 20-Year Treasury Constant Maturity Securities (BC_20YEARM) and 20-Year Treasury Inflation-Indexed Constant Maturity Securities (TC_20YEARM). The latest value implies what market participants expect inflation to be in the next 20 years, on average.
Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
"31","GS1","2023-12-17","2023-12-17","Market Yield on U.S. Treasury Securities at 1-Year Constant Maturity, Quoted on an Investment Basis","1953-04-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 15:25:17-06",50,80,"Averages of business days. For further information regarding treasury constant maturity data, please refer to the H.15 Statistical Release notes (https://www.federalreserve.gov/releases/h15/default.htm) and the Treasury Yield Curve Methodology (https://home.treasury.gov/policy-issues/financing-the-government/interest-rate-statistics/treasury-yield-curve-methodology)."
"32","EXPINF5YR","2023-12-17","2023-12-17","5-Year Expected Inflation","1982-01-01","2023-12-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-13 15:18:06-06",50,50,"The Federal Reserve Bank of Cleveland estimates the expected rate of inflation over the next 30 years along with the inflation risk premium, the real risk premium, and the real interest rate.

Their estimates are calculated with a model that uses Treasury yields, inflation data, inflation swaps, and survey-based measures of inflation expectations.

For more information, please visit the <a href=""https://www.clevelandfed.org/indicators-and-data/inflation-expectations#background"">Federal Reserve Bank of Cleveland<a/>."
"33","TB3SMFFM","2023-12-17","2023-12-17","3-Month Treasury Bill Minus Federal Funds Rate","1954-07-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 16:01:26-06",49,49,"Series is calculated as the spread between 3-Month Treasury Bill: Secondary Market Rate (ROUND_B1_CLOSE_13WK_2M)) and Effective Federal Funds Rate (https://fred.stlouisfed.org/series/EFFRM).
Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
"34","TERMCBCCINTNS","2023-12-17","2023-12-17","Commercial Bank Interest Rate on Credit Card Plans, Accounts Assessed Interest","1994-11-01","2023-08-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-10-06 14:02:06-05",49,49,"For further information, please refer to the Board of Governors of the Federal Reserve System's G.19 release, online at http://www.federalreserve.gov/releases/g19/."
"35","GS5","2023-12-17","2023-12-17","Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity, Quoted on an Investment Basis","1953-04-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 15:25:18-06",49,79,"Averages of business days. For further information regarding treasury constant maturity data, please refer to the H.15 Statistical Release notes (https://www.federalreserve.gov/releases/h15/default.htm) and the Treasury Yield Curve Methodology (https://home.treasury.gov/policy-issues/financing-the-government/interest-rate-statistics/treasury-yield-curve-methodology)."
"36","HQMCB5YR","2023-12-17","2023-12-17","5-Year High Quality Market (HQM) Corporate Bond Spot Rate","1984-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-10 14:30:03-06",49,49,"The spot rate for any maturity is defined as the yield on a bond that gives a single payment at that maturity. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market. 

The HQM methodology projects yields beyond 30 years maturity out to 100 years maturity to get discount rates for long-dated pension liabilities. 

 For more information see https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx"
"37","REAINTRATREARAT1MO","2023-12-17","2023-12-17","1-Month Real Interest Rate","1982-01-01","2023-12-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-13 15:18:07-06",48,48,"The Federal Reserve Bank of Cleveland estimates the expected rate of inflation over the next 30 years along with the inflation risk premium, the real risk premium, and the real interest rate.

Their estimates are calculated with a model that uses Treasury yields, inflation data, inflation swaps, and survey-based measures of inflation expectations.

For more information, please visit the <a href=""https://www.clevelandfed.org/indicators-and-data/inflation-expectations#background"">Federal Reserve Bank of Cleveland<a/>."
"38","T10Y3MM","2023-12-17","2023-12-17","10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity","1982-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 16:01:28-06",48,94,"Series is calculated as the spread between 10-Year Treasury Constant Maturity (BC_10YEARM) and 3-Month Treasury Constant Maturity (BC_3MONTHM).
Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
"39","TERMCBPER24NS","2023-12-17","2023-12-17","Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan","1972-02-01","2023-08-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-10-06 14:02:06-05",48,48,"For further information, please refer to the Board of Governors of the Federal Reserve System's G.19 release, online at http://www.federalreserve.gov/releases/g19/."
"40","T10YIEM","2023-12-17","2023-12-17","10-Year Breakeven Inflation Rate","2003-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 16:01:29-06",48,89,"The breakeven inflation rate represents a measure of expected inflation derived from 10-Year Treasury Constant Maturity Securities (BC_10YEARM) and 10-Year Treasury Inflation-Indexed Constant Maturity Securities (TC_10YEARM). The latest value implies what market participants expect inflation to be in the next 10 years, on average.
Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
