"Date","MASLIND"
1992-03-01,2.31
1992-04-01,2.04
1992-05-01,2.23
1992-06-01,2.12
1992-07-01,2.15
1992-08-01,2.71
1992-09-01,3.26
1992-10-01,3.59
1992-11-01,4.16
1992-12-01,4.09
1993-01-01,4.5
1993-02-01,4.67
1993-03-01,3.75
1993-04-01,4.01
1993-05-01,4.36
1993-06-01,4.74
1993-07-01,3.83
1993-08-01,3.22
1993-09-01,3.11
1993-10-01,2.44
1993-11-01,2.62
1993-12-01,2.23
1994-01-01,2.53
1994-02-01,2.04
1994-03-01,2.39
1994-04-01,2.84
1994-05-01,2.99
1994-06-01,3.09
1994-07-01,2.28
1994-08-01,2.42
1994-09-01,2.11
1994-10-01,2.34
1994-11-01,2.75
1994-12-01,2.93
1995-01-01,2.02
1995-02-01,1.9
1995-03-01,2.2
1995-04-01,1.79
1995-05-01,0.97
1995-06-01,1.35
1995-07-01,1.41
1995-08-01,1.31
1995-09-01,1.84
1995-10-01,2.51
1995-11-01,2.73
1995-12-01,2.64
1996-01-01,1.76
1996-02-01,2.15
1996-03-01,2.68
1996-04-01,3.11
1996-05-01,3.06
1996-06-01,3.17
1996-07-01,3
1996-08-01,2.28
1996-09-01,2.29
1996-10-01,1.89
1996-11-01,1.46
1996-12-01,1.19
1997-01-01,1.45
1997-02-01,2.13
1997-03-01,2.14
1997-04-01,1.58
1997-05-01,2.1
1997-06-01,1.94
1997-07-01,2.16
1997-08-01,1.66
1997-09-01,2.22
1997-10-01,2.64
1997-11-01,2.76
1997-12-01,1.97
1998-01-01,1.99
1998-02-01,1.71
1998-03-01,2.12
1998-04-01,2.29
1998-05-01,1.88
1998-06-01,1.17
1998-07-01,1.67
1998-08-01,1.34
1998-09-01,0.97
1998-10-01,0.83
1998-11-01,0.94
1998-12-01,1.14
1999-01-01,1.14
1999-02-01,1.33
1999-03-01,1.31
1999-04-01,1.48
1999-05-01,1.35
1999-06-01,1.42
1999-07-01,1.33
1999-08-01,1.33
1999-09-01,1.21
1999-10-01,1.21
1999-11-01,1.69
1999-12-01,2.56
2000-01-01,1.87
2000-02-01,1.95
2000-03-01,2.45
2000-04-01,2.83
2000-05-01,2.76
2000-06-01,1.54
2000-07-01,1.12
2000-08-01,0.2
2000-09-01,0.8
2000-10-01,0.73
2000-11-01,0.54
2000-12-01,-0.4
2001-01-01,-1.31
2001-02-01,-1.21
2001-03-01,-1.18
2001-04-01,-1.59
2001-05-01,-1.37
2001-06-01,-0.75
2001-07-01,-0.48
2001-08-01,-1.1
2001-09-01,-1.62
2001-10-01,-1.3
2001-11-01,-1.31
2001-12-01,-1.39
2002-01-01,-0.44
2002-02-01,-0.39
2002-03-01,-0.06
2002-04-01,-0.07
2002-05-01,0.25
2002-06-01,0.17
2002-07-01,0.08
2002-08-01,0.65
2002-09-01,0.38
2002-10-01,0.84
2002-11-01,1.28
2002-12-01,0.71
2003-01-01,0.97
2003-02-01,1.07
2003-03-01,0.59
2003-04-01,0.8
2003-05-01,0.39
2003-06-01,0.89
2003-07-01,1.43
2003-08-01,1.88
2003-09-01,1.94
2003-10-01,2.7
2003-11-01,2.61
2003-12-01,2.89
2004-01-01,3.17
2004-02-01,3.31
2004-03-01,3.3
2004-04-01,2.43
2004-05-01,2.56
2004-06-01,2.1
2004-07-01,2.59
2004-08-01,2.69
2004-09-01,2.19
2004-10-01,2.17
2004-11-01,1.69
2004-12-01,1.43
2005-01-01,0.99
2005-02-01,1.25
2005-03-01,1.27
2005-04-01,2.15
2005-05-01,1.83
2005-06-01,1.51
2005-07-01,1.31
2005-08-01,1.42
2005-09-01,1.29
2005-10-01,0.46
2005-11-01,0.6
2005-12-01,0.68
2006-01-01,0.99
2006-02-01,1.04
2006-03-01,1.09
2006-04-01,1.1
2006-05-01,0.75
2006-06-01,0.81
2006-07-01,0.7
2006-08-01,0.52
2006-09-01,0.53
2006-10-01,0.4
2006-11-01,0.63
2006-12-01,1.41
2007-01-01,1.32
2007-02-01,1.69
2007-03-01,1.26
2007-04-01,1.73
2007-05-01,1.45
2007-06-01,1.17
2007-07-01,0.73
2007-08-01,1.66
2007-09-01,1.63
2007-10-01,1.26
2007-11-01,0.9
2007-12-01,0.18
2008-01-01,0.27
2008-02-01,0
2008-03-01,-0.26
2008-04-01,-1.26
2008-05-01,-1.87
2008-06-01,-2.3
2008-07-01,-1.98
2008-08-01,-1.89
2008-09-01,-1.71
2008-10-01,-1.82
2008-11-01,-2.63
2008-12-01,-3.57
2009-01-01,-3.78
2009-02-01,-2.92
2009-03-01,-2.43
2009-04-01,-1.81
2009-05-01,-1.52
2009-06-01,-0.84
2009-07-01,-1
2009-08-01,-0.85
2009-09-01,-0.2
2009-10-01,0.49
2009-11-01,1.51
2009-12-01,1.54
2010-01-01,1.95
2010-02-01,2.8
2010-03-01,2.53
2010-04-01,2.95
2010-05-01,3.7
2010-06-01,3.76
2010-07-01,3.17
2010-08-01,2.73
2010-09-01,2.89
2010-10-01,2.07
2010-11-01,2.45
2010-12-01,2.81
2011-01-01,2.3
2011-02-01,3
2011-03-01,2.86
2011-04-01,3
2011-05-01,1.89
2011-06-01,2.18
2011-07-01,2.7
2011-08-01,2.78
2011-09-01,2.87
2011-10-01,2.87
2011-11-01,2.23
2011-12-01,2.6
2012-01-01,2.95
2012-02-01,2.68
2012-03-01,2.71
2012-04-01,2.04
2012-05-01,1.58
2012-06-01,1.32
2012-07-01,1.5
2012-08-01,1.47
2012-09-01,0.68
2012-10-01,0.81
2012-11-01,1.35
2012-12-01,0.85
2013-01-01,1.17
2013-02-01,0.72
2013-03-01,1.27
2013-04-01,1.62
2013-05-01,1.76
2013-06-01,2.15
2013-07-01,2.27
2013-08-01,3.21
2013-09-01,2.81
2013-10-01,3.12
2013-11-01,2.99
2013-12-01,3.14
2014-01-01,3.33
2014-02-01,3.18
2014-03-01,3
2014-04-01,2.93
2014-05-01,2.21
2014-06-01,2.18
2014-07-01,2.56
2014-08-01,1.94
2014-09-01,2.46
2014-10-01,2.71
2014-11-01,2.99
2014-12-01,3.6
2015-01-01,3.37
2015-02-01,2.16
2015-03-01,2.07
2015-04-01,2.52
2015-05-01,2.56
2015-06-01,2.69
2015-07-01,2.36
2015-08-01,2.93
2015-09-01,2.46
2015-10-01,2.81
2015-11-01,2.89
2015-12-01,3.14
2016-01-01,2.81
2016-02-01,2.74
2016-03-01,2.79
2016-04-01,2.73
2016-05-01,2.72
2016-06-01,2.56
2016-07-01,2.91
2016-08-01,2.09
2016-09-01,1.46
2016-10-01,1.1
2016-11-01,1.32
2016-12-01,0.59
2017-01-01,0.74
2017-02-01,0.9
2017-03-01,1.5
2017-04-01,1.32
2017-05-01,1.27
2017-06-01,1.56
2017-07-01,1.4
2017-08-01,2.29
2017-09-01,1.57
2017-10-01,1.56
2017-11-01,1.8
2017-12-01,1.45
2018-01-01,1.11
2018-02-01,1.84
2018-03-01,1.85
2018-04-01,1.41
2018-05-01,1.8
2018-06-01,1.61
2018-07-01,1.95
2018-08-01,1.24
2018-09-01,1.21
2018-10-01,1.72
2018-11-01,1.44
2018-12-01,1.74
2019-01-01,1.38
2019-02-01,1.31
2019-03-01,1.76
2019-04-01,1.39
2019-05-01,1.9
2019-06-01,1.19
2019-07-01,1.17
2019-08-01,1.46
2019-09-01,1.35
2019-10-01,1
2019-11-01,0.91
2019-12-01,0.94
2020-01-01,1.54
2020-02-01,1.41
