"Date","CPIEAPPAREL"
2004-09-01,121
2004-10-01,124.4
2004-11-01,123.2
2004-12-01,118.4
2005-01-01,115.2
2005-02-01,118
2005-03-01,124.1
2005-04-01,124.2
2005-05-01,122.7
2005-06-01,118.1
2005-07-01,112.9
2005-08-01,115.2
2005-09-01,121.4
2005-10-01,124.1
2005-11-01,122.3
2005-12-01,117.5
2006-01-01,114.4
2006-02-01,116.4
2006-03-01,122.7
2006-04-01,124.1
2006-05-01,122.9
2006-06-01,119.5
2006-07-01,113.9
2006-08-01,115.8
2006-09-01,121.5
2006-10-01,123.2
2006-11-01,121.5
2006-12-01,118.2
2007-01-01,115.316
2007-02-01,119.171
2007-03-01,123.356
2007-04-01,123.794
2007-05-01,122.109
2007-06-01,117.613
2007-07-01,113.007
2007-08-01,114.244
2007-09-01,119.296
2007-10-01,121.541
2007-11-01,120.72
2007-12-01,117.467
2008-01-01,115.215
2008-02-01,117.469
2008-03-01,120.826
2008-04-01,121.989
2008-05-01,120.503
2008-06-01,117.15
2008-07-01,114.078
2008-08-01,116.208
2008-09-01,121.396
2008-10-01,122.475
2008-11-01,121.181
2008-12-01,116.81
2009-01-01,114.155
2009-02-01,117.936
2009-03-01,122.033
2009-04-01,122.845
2009-05-01,120.821
2009-06-01,117.865
2009-07-01,114.294
2009-08-01,115.734
2009-09-01,121.808
2009-10-01,123.863
2009-11-01,122.498
2009-12-01,119.311
2010-01-01,116.935
2010-02-01,118.614
2010-03-01,122.131
2010-04-01,122.537
2010-05-01,121.327
2010-06-01,118.29
2010-07-01,114.829
2010-08-01,116.448
2010-09-01,121.242
2010-10-01,122.412
2010-11-01,121.682
2010-12-01,117.938
2011-01-01,115.947
2011-02-01,117.691
2011-03-01,120.792
2011-04-01,122.119
2011-05-01,122.645
2011-06-01,120.539
2011-07-01,118.548
2011-08-01,121.378
2011-09-01,125.382
2011-10-01,127.66
2011-11-01,127.117
2011-12-01,123.275
2012-01-01,122.012
2012-02-01,123.513
2012-03-01,127.076
2012-04-01,128.767
2012-05-01,127.968
2012-06-01,125.215
2012-07-01,122.174
2012-08-01,123.483
2012-09-01,128.939
2012-10-01,131.319
2012-11-01,129.429
2012-12-01,125.298
2013-01-01,124.177
2013-02-01,126.301
2013-03-01,128.575
2013-04-01,129.462
2013-05-01,128.686
2013-06-01,126.525
2013-07-01,124.249
2013-08-01,126.3
2013-09-01,129.796
2013-10-01,131.012
2013-11-01,129.657
2013-12-01,126.598
2014-01-01,123.786
2014-02-01,125.125
2014-03-01,129.071
2014-04-01,129.654
2014-05-01,128.926
2014-06-01,127.258
2014-07-01,124.327
2014-08-01,125.694
2014-09-01,130.279
2014-10-01,131.971
2014-11-01,129.127
2014-12-01,123.566
2015-01-01,121.864
2015-02-01,123.962
2015-03-01,128
2015-04-01,128.439
2015-05-01,126.546
2015-06-01,124.546
2015-07-01,122.266
2015-08-01,123.999
2015-09-01,128.38
2015-10-01,129.409
2015-11-01,126.438
2015-12-01,122.19
2016-01-01,121.109
2016-02-01,124.469
2016-03-01,127.141
2016-04-01,127.907
2016-05-01,127.649
2016-06-01,125.662
2016-07-01,123.12
2016-08-01,124.267
2016-09-01,128.021
2016-10-01,129.986
2016-11-01,127.217
2016-12-01,122.123
2017-01-01,122.03
2017-02-01,125.181
2017-03-01,128.131
2017-04-01,128.228
2017-05-01,126.607
2017-06-01,125.1
2017-07-01,122.419
2017-08-01,123.368
2017-09-01,127.011
2017-10-01,129.047
2017-11-01,124.844
2017-12-01,119.357
2018-01-01,120.86
2018-02-01,125.923
2018-03-01,128.41
2018-04-01,129.157
2018-05-01,128.287
2018-06-01,125.648
2018-07-01,122.329
2018-08-01,121.529
2018-09-01,126.255
2018-10-01,127.298
2018-11-01,123.713
2018-12-01,119.088
2019-01-01,121.421
2019-02-01,124.742
2019-03-01,124.753
2019-04-01,124.812
2019-05-01,123.726
2019-06-01,122.722
2019-07-01,121.453
2019-08-01,123.051
2019-09-01,126.073
2019-10-01,124.781
2019-11-01,121.54
2019-12-01,117.045
2020-01-01,119.197
2020-02-01,123.262
2020-03-01,122.779
2020-04-01,117.135
2020-05-01,113.309
2020-06-01,113.081
2020-07-01,112.396
2020-08-01,114.659
2020-09-01,117.992
2020-10-01,117.75
2020-11-01,114.547
2020-12-01,112.317
2021-01-01,115.731
2021-02-01,118.776
2021-03-01,119.343
2021-04-01,119.026
2021-05-01,119.15
2021-06-01,118.482
2021-07-01,117.431
2021-08-01,119.569
2021-09-01,121.541
2021-10-01,122.623
2021-11-01,120.57
2021-12-01,119.084
2022-01-01,121.948
2022-02-01,125.732
2022-03-01,127.101
2022-04-01,125.388
2022-05-01,125.128
2022-06-01,124.782
2022-07-01,123.461
2022-08-01,125.489
2022-09-01,128.292
2022-10-01,127.852
2022-11-01,124.962
2022-12-01,122.45
2023-01-01,125.362
2023-02-01,129.569
2023-03-01,130.376
2023-04-01,128.834
2023-05-01,128.642
2023-06-01,127.821
2023-07-01,126.365
2023-08-01,128.258
2023-09-01,130.072
2023-10-01,130.356
2023-11-01,126.31
