"Date","MTSLIND"
1994-07-01,1.47
1994-08-01,1.48
1994-09-01,0.69
1994-10-01,-0.22
1994-11-01,0.41
1994-12-01,0.35
1995-01-01,-0.08
1995-02-01,-0.15
1995-03-01,0.54
1995-04-01,0.94
1995-05-01,0.87
1995-06-01,0.97
1995-07-01,0.35
1995-08-01,0.28
1995-09-01,-0.06
1995-10-01,1
1995-11-01,1.31
1995-12-01,0.99
1996-01-01,1.5
1996-02-01,1.34
1996-03-01,1.6
1996-04-01,1.19
1996-05-01,1.54
1996-06-01,1.45
1996-07-01,1.77
1996-08-01,2.45
1996-09-01,2.36
1996-10-01,1.76
1996-11-01,1.08
1996-12-01,0.6
1997-01-01,0.56
1997-02-01,-0.16
1997-03-01,-0.83
1997-04-01,0.03
1997-05-01,0.18
1997-06-01,0.42
1997-07-01,0.91
1997-08-01,0.96
1997-09-01,1.05
1997-10-01,1.09
1997-11-01,0.98
1997-12-01,0.17
1998-01-01,0.37
1998-02-01,0.72
1998-03-01,0.76
1998-04-01,0.67
1998-05-01,0.72
1998-06-01,0.66
1998-07-01,0.88
1998-08-01,0.8
1998-09-01,0.9
1998-10-01,-0.15
1998-11-01,0.27
1998-12-01,0.75
1999-01-01,1.69
1999-02-01,2.04
1999-03-01,1.31
1999-04-01,1.49
1999-05-01,1.1
1999-06-01,1.57
1999-07-01,1.21
1999-08-01,0.72
1999-09-01,0.71
1999-10-01,1.6
1999-11-01,1.51
1999-12-01,1.08
2000-01-01,0.82
2000-02-01,1.83
2000-03-01,1.81
2000-04-01,1.01
2000-05-01,0.67
2000-06-01,0.59
2000-07-01,0.69
2000-08-01,0.78
2000-09-01,1.53
2000-10-01,0.99
2000-11-01,1.25
2000-12-01,1.6
2001-01-01,0.95
2001-02-01,1.42
2001-03-01,0.85
2001-04-01,0.25
2001-05-01,0.23
2001-06-01,1.33
2001-07-01,1.15
2001-08-01,0.9
2001-09-01,0.51
2001-10-01,0.64
2001-11-01,1.51
2001-12-01,0.43
2002-01-01,0.61
2002-02-01,0.87
2002-03-01,0.99
2002-04-01,1.27
2002-05-01,2.08
2002-06-01,2.13
2002-07-01,1.94
2002-08-01,1.52
2002-09-01,1.49
2002-10-01,1.19
2002-11-01,0.42
2002-12-01,0.51
2003-01-01,0.06
2003-02-01,0.48
2003-03-01,-0.09
2003-04-01,0.65
2003-05-01,0.22
2003-06-01,0.58
2003-07-01,0.83
2003-08-01,0.1
2003-09-01,0.45
2003-10-01,1.02
2003-11-01,0.37
2003-12-01,0.67
2004-01-01,1.08
2004-02-01,1.53
2004-03-01,1.56
2004-04-01,2.46
2004-05-01,1.83
2004-06-01,1.51
2004-07-01,1.26
2004-08-01,2.11
2004-09-01,1.89
2004-10-01,1.44
2004-11-01,2.03
2004-12-01,1.75
2005-01-01,1.02
2005-02-01,2.07
2005-03-01,1.75
2005-04-01,1.14
2005-05-01,0.74
2005-06-01,2.04
2005-07-01,1.87
2005-08-01,1.8
2005-09-01,2.32
2005-10-01,2.54
2005-11-01,2.47
2005-12-01,2.26
2006-01-01,1.64
2006-02-01,1.88
2006-03-01,2.37
2006-04-01,1.5
2006-05-01,1.55
2006-06-01,1.38
2006-07-01,2.02
2006-08-01,1.83
2006-09-01,0.87
2006-10-01,1.22
2006-11-01,2.09
2006-12-01,3.25
2007-01-01,1.91
2007-02-01,1.59
2007-03-01,0.39
2007-04-01,-0.6
2007-05-01,-1.79
2007-06-01,-2.39
2007-07-01,-2.14
2007-08-01,-2.3
2007-09-01,-1.5
2007-10-01,-0.77
2007-11-01,-0.76
2007-12-01,0.04
2008-01-01,-0.25
2008-02-01,-0.72
2008-03-01,-0.99
2008-04-01,-1.16
2008-05-01,-0.78
2008-06-01,-1.61
2008-07-01,-1.99
2008-08-01,-2.22
2008-09-01,-2.17
2008-10-01,-2.38
2008-11-01,-3.04
2008-12-01,-3.67
2009-01-01,-2.95
2009-02-01,-2.36
2009-03-01,-1.85
2009-04-01,-1.02
2009-05-01,-0.02
2009-06-01,1.45
2009-07-01,1.24
2009-08-01,0.88
2009-09-01,0.97
2009-10-01,0.23
2009-11-01,-0.31
2009-12-01,-1.5
2010-01-01,-0.83
2010-02-01,-0.47
2010-03-01,0.92
2010-04-01,1.13
2010-05-01,2.39
2010-06-01,1.64
2010-07-01,2.2
2010-08-01,1.49
2010-09-01,1.12
2010-10-01,-0.04
2010-11-01,0.19
2010-12-01,0.59
2011-01-01,0.87
2011-02-01,0.93
2011-03-01,2.03
2011-04-01,1.67
2011-05-01,2.09
2011-06-01,2.43
2011-07-01,1.67
2011-08-01,2.23
2011-09-01,2.63
2011-10-01,3.67
2011-11-01,3.12
2011-12-01,2.5
2012-01-01,2.45
2012-02-01,2.29
2012-03-01,2.54
2012-04-01,1.65
2012-05-01,1.2
2012-06-01,1
2012-07-01,1.89
2012-08-01,2.36
2012-09-01,1.72
2012-10-01,1.59
2012-11-01,2.19
2012-12-01,2.4
2013-01-01,1.62
2013-02-01,1.06
2013-03-01,1.78
2013-04-01,1.64
2013-05-01,1.01
2013-06-01,0.8
2013-07-01,1.42
2013-08-01,1.42
2013-09-01,1.82
2013-10-01,1.54
2013-11-01,2.01
2013-12-01,2.24
2014-01-01,2.49
2014-02-01,2.34
2014-03-01,1.55
2014-04-01,1.99
2014-05-01,2.24
2014-06-01,1.74
2014-07-01,1.98
2014-08-01,1.65
2014-09-01,2.07
2014-10-01,1.36
2014-11-01,1.68
2014-12-01,2.61
2015-01-01,2
2015-02-01,2.18
2015-03-01,1.54
2015-04-01,1.1
2015-05-01,0.86
2015-06-01,0.69
2015-07-01,0.94
2015-08-01,0.91
2015-09-01,1.12
2015-10-01,1.13
2015-11-01,0.98
2015-12-01,1.04
2016-01-01,0.93
2016-02-01,1.11
2016-03-01,1.08
2016-04-01,0.92
2016-05-01,0.91
2016-06-01,0.75
2016-07-01,1.63
2016-08-01,1.24
2016-09-01,0.93
2016-10-01,1.51
2016-11-01,1.47
2016-12-01,0.8
2017-01-01,0.71
2017-02-01,0.95
2017-03-01,1.05
2017-04-01,1.12
2017-05-01,0.92
2017-06-01,1.06
2017-07-01,0.79
2017-08-01,0.82
2017-09-01,1.56
2017-10-01,1.35
2017-11-01,0.75
2017-12-01,1.48
2018-01-01,1.39
2018-02-01,0.91
2018-03-01,1.68
2018-04-01,1.3
2018-05-01,1.07
2018-06-01,1.68
2018-07-01,1.34
2018-08-01,1.03
2018-09-01,0.73
2018-10-01,0.82
2018-11-01,1.68
2018-12-01,1.44
2019-01-01,1.05
2019-02-01,0.52
2019-03-01,0.44
2019-04-01,0.62
2019-05-01,0.61
2019-06-01,0.54
2019-07-01,0.6
2019-08-01,0.81
2019-09-01,0.51
2019-10-01,0.41
2019-11-01,0.71
2019-12-01,0.62
2020-01-01,0.91
2020-02-01,0.74
