"Date","NMSLIND"
1989-10-01,1.56
1989-11-01,2.02
1989-12-01,2.57
1990-01-01,2.04
1990-02-01,1.54
1990-03-01,2.11
1990-04-01,1.94
1990-05-01,1.51
1990-06-01,1.29
1990-07-01,0.43
1990-08-01,0.88
1990-09-01,1.02
1990-10-01,0.18
1990-11-01,0.11
1990-12-01,0.24
1991-01-01,0.42
1991-02-01,0.05
1991-03-01,-0.41
1991-04-01,1.04
1991-05-01,0.33
1991-06-01,0.75
1991-07-01,1.36
1991-08-01,1.38
1991-09-01,1.2
1991-10-01,1.43
1991-11-01,0.54
1991-12-01,0.73
1992-01-01,0.91
1992-02-01,0.61
1992-03-01,1.68
1992-04-01,1.57
1992-05-01,2.79
1992-06-01,2.27
1992-07-01,2.37
1992-08-01,1.25
1992-09-01,1.63
1992-10-01,1.59
1992-11-01,1.9
1992-12-01,1.25
1993-01-01,1.63
1993-02-01,0.85
1993-03-01,1.37
1993-04-01,0.5
1993-05-01,1.12
1993-06-01,1.73
1993-07-01,2.43
1993-08-01,2.16
1993-09-01,2.2
1993-10-01,1.84
1993-11-01,2.06
1993-12-01,2.01
1994-01-01,1.6
1994-02-01,2.14
1994-03-01,2.7
1994-04-01,2.06
1994-05-01,1.17
1994-06-01,2
1994-07-01,2.06
1994-08-01,1.66
1994-09-01,1.55
1994-10-01,1.66
1994-11-01,2.02
1994-12-01,1.88
1995-01-01,2.36
1995-02-01,1.91
1995-03-01,1.45
1995-04-01,0.49
1995-05-01,0.76
1995-06-01,0.66
1995-07-01,0.93
1995-08-01,0.57
1995-09-01,0.39
1995-10-01,-0.35
1995-11-01,0.08
1995-12-01,0.34
1996-01-01,0.59
1996-02-01,0.88
1996-03-01,0.99
1996-04-01,1.22
1996-05-01,1.57
1996-06-01,1.45
1996-07-01,1.15
1996-08-01,1.14
1996-09-01,1.65
1996-10-01,2.34
1996-11-01,1.44
1996-12-01,1.99
1997-01-01,2.15
1997-02-01,2.48
1997-03-01,1.94
1997-04-01,3.13
1997-05-01,3.26
1997-06-01,2.58
1997-07-01,2.36
1997-08-01,2
1997-09-01,2.11
1997-10-01,1.84
1997-11-01,1.3
1997-12-01,1.36
1998-01-01,0.51
1998-02-01,0.99
1998-03-01,1.32
1998-04-01,0.88
1998-05-01,1.51
1998-06-01,1.46
1998-07-01,1.63
1998-08-01,1.1
1998-09-01,1.51
1998-10-01,2.03
1998-11-01,1.39
1998-12-01,2.19
1999-01-01,1.99
1999-02-01,1.8
1999-03-01,1.49
1999-04-01,1.37
1999-05-01,2.31
1999-06-01,2.62
1999-07-01,2.18
1999-08-01,2.44
1999-09-01,2.54
1999-10-01,2.18
1999-11-01,2.16
1999-12-01,2.19
2000-01-01,1.45
2000-02-01,1.57
2000-03-01,2.41
2000-04-01,2.09
2000-05-01,1.27
2000-06-01,0.78
2000-07-01,0.98
2000-08-01,1.35
2000-09-01,1.67
2000-10-01,1.49
2000-11-01,1.74
2000-12-01,1.57
2001-01-01,1.08
2001-02-01,1.31
2001-03-01,1.38
2001-04-01,1.56
2001-05-01,1.38
2001-06-01,0.76
2001-07-01,1.06
2001-08-01,0.56
2001-09-01,0.52
2001-10-01,0.06
2001-11-01,-0.26
2001-12-01,-0.35
2002-01-01,-0.24
2002-02-01,0.36
2002-03-01,0.61
2002-04-01,0.6
2002-05-01,0.26
2002-06-01,1.74
2002-07-01,2.1
2002-08-01,1.75
2002-09-01,0.86
2002-10-01,0.98
2002-11-01,1.29
2002-12-01,1.27
2003-01-01,1.46
2003-02-01,0.61
2003-03-01,0.87
2003-04-01,0.39
2003-05-01,0.61
2003-06-01,0.32
2003-07-01,1.17
2003-08-01,0.94
2003-09-01,1.18
2003-10-01,2.38
2003-11-01,2.02
2003-12-01,1.66
2004-01-01,2.24
2004-02-01,2.78
2004-03-01,1.82
2004-04-01,2.12
2004-05-01,2.57
2004-06-01,1.98
2004-07-01,1.91
2004-08-01,1.16
2004-09-01,1.19
2004-10-01,1.62
2004-11-01,1.71
2004-12-01,1.24
2005-01-01,1.15
2005-02-01,1.39
2005-03-01,1.46
2005-04-01,2.36
2005-05-01,1.81
2005-06-01,2.04
2005-07-01,2.29
2005-08-01,2.4
2005-09-01,2.6
2005-10-01,2.74
2005-11-01,2.79
2005-12-01,3.3
2006-01-01,3.42
2006-02-01,2.73
2006-03-01,2.61
2006-04-01,1.24
2006-05-01,0.95
2006-06-01,0.98
2006-07-01,1.19
2006-08-01,1.58
2006-09-01,1.68
2006-10-01,2.15
2006-11-01,2.33
2006-12-01,2.53
2007-01-01,1.42
2007-02-01,1.84
2007-03-01,2.13
2007-04-01,1.33
2007-05-01,0.89
2007-06-01,1.01
2007-07-01,1.02
2007-08-01,1.08
2007-09-01,0.79
2007-10-01,0.42
2007-11-01,0.95
2007-12-01,0.36
2008-01-01,0.97
2008-02-01,1.3
2008-03-01,1.19
2008-04-01,0.93
2008-05-01,0.1
2008-06-01,0.25
2008-07-01,-0.5
2008-08-01,-1.37
2008-09-01,-1.78
2008-10-01,-2.29
2008-11-01,-3.27
2008-12-01,-3.98
2009-01-01,-3.59
2009-02-01,-4.77
2009-03-01,-4.34
2009-04-01,-3.18
2009-05-01,-0.62
2009-06-01,0.8
2009-07-01,1.05
2009-08-01,1.47
2009-09-01,2.01
2009-10-01,1.27
2009-11-01,0.95
2009-12-01,0.5
2010-01-01,0.05
2010-02-01,0.46
2010-03-01,0.63
2010-04-01,0.14
2010-05-01,0.48
2010-06-01,1.13
2010-07-01,1.57
2010-08-01,1.78
2010-09-01,1.76
2010-10-01,1.98
2010-11-01,2.41
2010-12-01,2.57
2011-01-01,2.07
2011-02-01,2.52
2011-03-01,2.18
2011-04-01,1.14
2011-05-01,0.64
2011-06-01,0.7
2011-07-01,0.66
2011-08-01,1.43
2011-09-01,0.47
2011-10-01,0.83
2011-11-01,0.97
2011-12-01,1.2
2012-01-01,2.15
2012-02-01,2.53
2012-03-01,2.91
2012-04-01,2.28
2012-05-01,1.64
2012-06-01,1.88
2012-07-01,1.36
2012-08-01,1.22
2012-09-01,1.43
2012-10-01,1.01
2012-11-01,1.26
2012-12-01,2.15
2013-01-01,2.4
2013-02-01,2.17
2013-03-01,2.54
2013-04-01,1.88
2013-05-01,0.98
2013-06-01,0.95
2013-07-01,0.93
2013-08-01,1
2013-09-01,0.66
2013-10-01,0.63
2013-11-01,1.12
2013-12-01,1.84
2014-01-01,1.58
2014-02-01,1.47
2014-03-01,1.4
2014-04-01,2.33
2014-05-01,1.52
2014-06-01,1.75
2014-07-01,1.7
2014-08-01,2.56
2014-09-01,2.41
2014-10-01,2.02
2014-11-01,1.87
2014-12-01,1.61
2015-01-01,1.23
2015-02-01,-0.06
2015-03-01,0.65
2015-04-01,0.15
2015-05-01,1.24
2015-06-01,2.17
2015-07-01,1.76
2015-08-01,0.99
2015-09-01,1.36
2015-10-01,0.54
2015-11-01,0.62
2015-12-01,1.19
2016-01-01,1.26
2016-02-01,0.95
2016-03-01,0.16
2016-04-01,0.8
2016-05-01,0.97
2016-06-01,1.36
2016-07-01,1.55
2016-08-01,1.69
2016-09-01,2.33
2016-10-01,1.7
2016-11-01,2.21
2016-12-01,2.22
2017-01-01,1.63
2017-02-01,1.9
2017-03-01,2.33
2017-04-01,2.7
2017-05-01,2.28
2017-06-01,2.36
2017-07-01,1.98
2017-08-01,2.12
2017-09-01,2.5
2017-10-01,2.53
2017-11-01,2.37
2017-12-01,2.66
2018-01-01,2.98
2018-02-01,3.07
2018-03-01,2.7
2018-04-01,2.65
2018-05-01,2.46
2018-06-01,1.79
2018-07-01,1.17
2018-08-01,1.28
2018-09-01,1.4
2018-10-01,1.01
2018-11-01,1.24
2018-12-01,1.1
2019-01-01,0.23
2019-02-01,0.76
2019-03-01,1.72
2019-04-01,1.9
2019-05-01,2.14
2019-06-01,1.79
2019-07-01,2.35
2019-08-01,2.01
2019-09-01,1.23
2019-10-01,1.14
2019-11-01,1.24
2019-12-01,1.13
2020-01-01,1.51
2020-02-01,1.3
