"Date","MNSLIND"
1991-12-01,1.56
1992-01-01,1.91
1992-02-01,1.8
1992-03-01,1.85
1992-04-01,1.68
1992-05-01,2
1992-06-01,1.2
1992-07-01,1.5
1992-08-01,1.71
1992-09-01,2.33
1992-10-01,2.03
1992-11-01,1.81
1992-12-01,1.93
1993-01-01,1.97
1993-02-01,1.24
1993-03-01,1.42
1993-04-01,1.69
1993-05-01,1.78
1993-06-01,2.03
1993-07-01,2.51
1993-08-01,2.56
1993-09-01,2.45
1993-10-01,2.67
1993-11-01,1.92
1993-12-01,2.27
1994-01-01,1.79
1994-02-01,3.03
1994-03-01,2.84
1994-04-01,3.3
1994-05-01,3.01
1994-06-01,2.66
1994-07-01,1.8
1994-08-01,1.81
1994-09-01,1.89
1994-10-01,1.82
1994-11-01,1.94
1994-12-01,1.84
1995-01-01,2.24
1995-02-01,1.89
1995-03-01,1.34
1995-04-01,1.07
1995-05-01,1.68
1995-06-01,1.54
1995-07-01,1.38
1995-08-01,1.86
1995-09-01,1.46
1995-10-01,0.72
1995-11-01,0.81
1995-12-01,0.61
1996-01-01,0.37
1996-02-01,0.1
1996-03-01,1.02
1996-04-01,0.58
1996-05-01,0.89
1996-06-01,1.41
1996-07-01,2.01
1996-08-01,1.69
1996-09-01,1.8
1996-10-01,2.04
1996-11-01,2.22
1996-12-01,1.55
1997-01-01,1.49
1997-02-01,2.07
1997-03-01,2.23
1997-04-01,1.54
1997-05-01,2.16
1997-06-01,1.85
1997-07-01,1.64
1997-08-01,1.86
1997-09-01,2.39
1997-10-01,1.99
1997-11-01,1.96
1997-12-01,2.19
1998-01-01,2.13
1998-02-01,1.51
1998-03-01,1.64
1998-04-01,1.85
1998-05-01,1.65
1998-06-01,1.05
1998-07-01,0.8
1998-08-01,0.48
1998-09-01,0.49
1998-10-01,1.26
1998-11-01,1.58
1998-12-01,1.86
1999-01-01,1.82
1999-02-01,1.22
1999-03-01,0.73
1999-04-01,0.88
1999-05-01,-0.02
1999-06-01,0.01
1999-07-01,1.25
1999-08-01,1.38
1999-09-01,1.33
1999-10-01,1.52
1999-11-01,1.54
1999-12-01,1.38
2000-01-01,0.61
2000-02-01,1.05
2000-03-01,1.47
2000-04-01,1.68
2000-05-01,0.98
2000-06-01,1
2000-07-01,0.37
2000-08-01,0.28
2000-09-01,-0.24
2000-10-01,0.5
2000-11-01,0.22
2000-12-01,0.65
2001-01-01,0.79
2001-02-01,0.8
2001-03-01,0.21
2001-04-01,-0.41
2001-05-01,0.47
2001-06-01,0.47
2001-07-01,0.83
2001-08-01,0.52
2001-09-01,0.29
2001-10-01,-0.19
2001-11-01,0.03
2001-12-01,-0.11
2002-01-01,0.52
2002-02-01,0.83
2002-03-01,1.37
2002-04-01,1.84
2002-05-01,1.81
2002-06-01,2.38
2002-07-01,2.05
2002-08-01,2.08
2002-09-01,2
2002-10-01,1.4
2002-11-01,1.35
2002-12-01,1.44
2003-01-01,1.08
2003-02-01,0.74
2003-03-01,0.57
2003-04-01,0.63
2003-05-01,0.71
2003-06-01,0.64
2003-07-01,1.04
2003-08-01,1.19
2003-09-01,1.56
2003-10-01,2.25
2003-11-01,2.24
2003-12-01,2.6
2004-01-01,2.17
2004-02-01,2.52
2004-03-01,2.22
2004-04-01,2.32
2004-05-01,1.99
2004-06-01,1.8
2004-07-01,2.31
2004-08-01,2.12
2004-09-01,2.34
2004-10-01,2.51
2004-11-01,2.45
2004-12-01,2.27
2005-01-01,1.26
2005-02-01,1.97
2005-03-01,1.5
2005-04-01,2.22
2005-05-01,2.22
2005-06-01,1.59
2005-07-01,1.96
2005-08-01,1.46
2005-09-01,1.06
2005-10-01,1.28
2005-11-01,0.58
2005-12-01,0.66
2006-01-01,1.33
2006-02-01,1.79
2006-03-01,1.42
2006-04-01,1.46
2006-05-01,1.61
2006-06-01,1.28
2006-07-01,0.67
2006-08-01,0.08
2006-09-01,-0.26
2006-10-01,-0.38
2006-11-01,0.01
2006-12-01,0.38
2007-01-01,0.85
2007-02-01,0.18
2007-03-01,0.59
2007-04-01,0.04
2007-05-01,0.53
2007-06-01,0.6
2007-07-01,0.32
2007-08-01,0.46
2007-09-01,0.01
2007-10-01,0.63
2007-11-01,0.93
2007-12-01,0.95
2008-01-01,0.89
2008-02-01,0.83
2008-03-01,0.34
2008-04-01,0.08
2008-05-01,-0.18
2008-06-01,-0.3
2008-07-01,0.22
2008-08-01,-0.26
2008-09-01,-0.41
2008-10-01,-0.79
2008-11-01,-1.52
2008-12-01,-2.17
2009-01-01,-2.21
2009-02-01,-2.19
2009-03-01,-2.31
2009-04-01,-1.03
2009-05-01,0.73
2009-06-01,1.25
2009-07-01,1.98
2009-08-01,1.96
2009-09-01,2.48
2009-10-01,3.22
2009-11-01,2.23
2009-12-01,2.53
2010-01-01,1.73
2010-02-01,1.77
2010-03-01,2.81
2010-04-01,3.09
2010-05-01,2.71
2010-06-01,2.4
2010-07-01,2.12
2010-08-01,1.44
2010-09-01,0.89
2010-10-01,1.42
2010-11-01,2.38
2010-12-01,2.27
2011-01-01,2.97
2011-02-01,2.95
2011-03-01,2.81
2011-04-01,2.03
2011-05-01,1.73
2011-06-01,1.61
2011-07-01,1.65
2011-08-01,3.01
2011-09-01,3.67
2011-10-01,3.06
2011-11-01,2.47
2011-12-01,1.88
2012-01-01,2.39
2012-02-01,2.21
2012-03-01,2.03
2012-04-01,1.66
2012-05-01,1.87
2012-06-01,1.82
2012-07-01,1.2
2012-08-01,1.32
2012-09-01,1.58
2012-10-01,1.87
2012-11-01,1.62
2012-12-01,2.18
2013-01-01,2.65
2013-02-01,2.39
2013-03-01,1.67
2013-04-01,1.63
2013-05-01,2.31
2013-06-01,1.85
2013-07-01,1.78
2013-08-01,1.68
2013-09-01,2.44
2013-10-01,2.57
2013-11-01,1.71
2013-12-01,1.42
2014-01-01,1.97
2014-02-01,2.06
2014-03-01,2.05
2014-04-01,2.45
2014-05-01,2.48
2014-06-01,3.11
2014-07-01,2.8
2014-08-01,1.83
2014-09-01,1.91
2014-10-01,1.88
2014-11-01,2.11
2014-12-01,2.02
2015-01-01,1.7
2015-02-01,2.02
2015-03-01,1.83
2015-04-01,1.43
2015-05-01,1.56
2015-06-01,1.25
2015-07-01,1.25
2015-08-01,1.49
2015-09-01,1.88
2015-10-01,1.87
2015-11-01,1.35
2015-12-01,0.68
2016-01-01,1
2016-02-01,1.46
2016-03-01,1.59
2016-04-01,1.07
2016-05-01,1.25
2016-06-01,0.62
2016-07-01,1.36
2016-08-01,0.85
2016-09-01,1.03
2016-10-01,1.01
2016-11-01,1.5
2016-12-01,1.89
2017-01-01,2.49
2017-02-01,2.62
2017-03-01,2.72
2017-04-01,2.33
2017-05-01,1.38
2017-06-01,1.9
2017-07-01,1.64
2017-08-01,1.83
2017-09-01,1.78
2017-10-01,1.83
2017-11-01,1.93
2017-12-01,1.61
2018-01-01,2.2
2018-02-01,1.79
2018-03-01,1.33
2018-04-01,0.97
2018-05-01,2.22
2018-06-01,2.12
2018-07-01,1.92
2018-08-01,1.56
2018-09-01,0.7
2018-10-01,0.98
2018-11-01,0.62
2018-12-01,0.15
2019-01-01,0.16
2019-02-01,0.73
2019-03-01,1.06
2019-04-01,1.09
2019-05-01,1.17
2019-06-01,1.05
2019-07-01,1.12
2019-08-01,1.01
2019-09-01,0.82
2019-10-01,0.2
2019-11-01,0.45
2019-12-01,0.8
2020-01-01,1.52
2020-02-01,2.04
