"Date","INSLIND"
2015-03-01,1.55
2015-04-01,1.59
2015-05-01,1.9
2015-06-01,1.81
2015-07-01,1.6
2015-08-01,1.69
2015-09-01,1.64
2015-10-01,1.34
2015-11-01,0.97
2015-12-01,1.2
2016-01-01,0.9
2016-02-01,1.31
2016-03-01,1.22
2016-04-01,0.99
2016-05-01,1.23
2016-06-01,1.28
2016-07-01,1.63
2016-08-01,1.55
2016-09-01,1.33
2016-10-01,1.35
2016-11-01,1.58
2016-12-01,1.29
2017-01-01,1.52
2017-02-01,1.89
2017-03-01,1.76
2017-04-01,1.5
2017-05-01,1.07
2017-06-01,1.39
2017-07-01,0.52
2017-08-01,0.64
2017-09-01,1.16
2017-10-01,1.38
2017-11-01,1.47
2017-12-01,1.15
2018-01-01,1.1
2018-02-01,1.07
2018-03-01,1.04
2018-04-01,0.59
2018-05-01,0.95
2018-06-01,1.13
2018-07-01,0.91
2018-08-01,0.82
2018-09-01,0.64
2018-10-01,0.82
2018-11-01,0.42
2018-12-01,0.72
2019-01-01,1.23
2019-02-01,1.29
2019-03-01,0.69
2019-04-01,0.74
2019-05-01,1.14
2019-06-01,0.59
2019-07-01,0.79
2019-08-01,0.89
2019-09-01,0.8
2019-10-01,0.69
2019-11-01,0.65
2019-12-01,1.39
2020-01-01,1.82
2020-02-01,1.3
