"Date","NYSLIND"
2009-09-01,0.24
2009-10-01,1.23
2009-11-01,1.13
2009-12-01,1.24
2010-01-01,1.39
2010-02-01,1.84
2010-03-01,1.82
2010-04-01,1.88
2010-05-01,1.94
2010-06-01,1.57
2010-07-01,0.93
2010-08-01,0.4
2010-09-01,0.47
2010-10-01,1.01
2010-11-01,1.96
2010-12-01,1.59
2011-01-01,1.85
2011-02-01,2.1
2011-03-01,2
2011-04-01,1.29
2011-05-01,0.36
2011-06-01,-0.28
2011-07-01,-0.12
2011-08-01,0.47
2011-09-01,0.47
2011-10-01,0.15
2011-11-01,1.03
2011-12-01,0.87
2012-01-01,0.96
2012-02-01,1.21
2012-03-01,0.81
2012-04-01,0.76
2012-05-01,1.11
2012-06-01,1.08
2012-07-01,1.15
2012-08-01,1.43
2012-09-01,1.63
2012-10-01,1.77
2012-11-01,0.59
2012-12-01,0.92
2013-01-01,1.33
2013-02-01,1.81
2013-03-01,2.03
2013-04-01,2.47
2013-05-01,2.02
2013-06-01,0.9
2013-07-01,1.25
2013-08-01,1.08
2013-09-01,1.85
2013-10-01,2.55
2013-11-01,2.22
2013-12-01,2.01
2014-01-01,1.88
2014-02-01,2.17
2014-03-01,2.25
2014-04-01,1.83
2014-05-01,1.76
2014-06-01,1.6
2014-07-01,2.19
2014-08-01,1.95
2014-09-01,1.58
2014-10-01,0.96
2014-11-01,1.37
2014-12-01,1.86
2015-01-01,1.85
2015-02-01,1.04
2015-03-01,1.4
2015-04-01,1.58
2015-05-01,2.14
2015-06-01,1.81
2015-07-01,1.76
2015-08-01,2.29
2015-09-01,1.43
2015-10-01,1.54
2015-11-01,1.13
2015-12-01,1.06
2016-01-01,0.86
2016-02-01,1.58
2016-03-01,1.26
2016-04-01,1.29
2016-05-01,0.5
2016-06-01,0.33
2016-07-01,0.57
2016-08-01,1.18
2016-09-01,0.73
2016-10-01,1.33
2016-11-01,1.46
2016-12-01,1.82
2017-01-01,1.68
2017-02-01,1.22
2017-03-01,0.6
2017-04-01,0.84
2017-05-01,0.85
2017-06-01,1.09
2017-07-01,0.37
2017-08-01,0.88
2017-09-01,2.02
2017-10-01,1.59
2017-11-01,1.72
2017-12-01,1.28
2018-01-01,1.63
2018-02-01,1.48
2018-03-01,1.46
2018-04-01,1.83
2018-05-01,1.86
2018-06-01,2.07
2018-07-01,1.7
2018-08-01,1.41
2018-09-01,0.96
2018-10-01,1.03
2018-11-01,0.36
2018-12-01,0.55
2019-01-01,0.97
2019-02-01,1.17
2019-03-01,1.23
2019-04-01,1.06
2019-05-01,0.9
2019-06-01,1.05
2019-07-01,0.99
2019-08-01,0.63
2019-09-01,0.73
2019-10-01,0.57
2019-11-01,0.91
2019-12-01,0.6
2020-01-01,1.57
2020-02-01,1.83
