"Date","VTSLIND"
2007-09-01,0.66
2007-10-01,0.12
2007-11-01,0.59
2007-12-01,0.72
2008-01-01,0.19
2008-02-01,0.5
2008-03-01,1.18
2008-04-01,0.48
2008-05-01,0.86
2008-06-01,0.64
2008-07-01,0.18
2008-08-01,-0.07
2008-09-01,0.23
2008-10-01,-1.18
2008-11-01,-1.84
2008-12-01,-1.87
2009-01-01,-2.16
2009-02-01,-1.75
2009-03-01,-1.63
2009-04-01,-0.14
2009-05-01,2.17
2009-06-01,2.55
2009-07-01,2.57
2009-08-01,3.85
2009-09-01,3.34
2009-10-01,2.85
2009-11-01,2.63
2009-12-01,2.05
2010-01-01,1.79
2010-02-01,1.87
2010-03-01,2.46
2010-04-01,2.24
2010-05-01,2.46
2010-06-01,1.5
2010-07-01,2.64
2010-08-01,1.35
2010-09-01,1.58
2010-10-01,1.43
2010-11-01,2
2010-12-01,1.7
2011-01-01,2.13
2011-02-01,2.91
2011-03-01,3.27
2011-04-01,2.66
2011-05-01,1.57
2011-06-01,1.66
2011-07-01,1.76
2011-08-01,1.54
2011-09-01,0.74
2011-10-01,1.16
2011-11-01,1.99
2011-12-01,3.17
2012-01-01,2.63
2012-02-01,2.35
2012-03-01,1.59
2012-04-01,0.84
2012-05-01,1.3
2012-06-01,1.57
2012-07-01,1.3
2012-08-01,1.21
2012-09-01,2.01
2012-10-01,2.26
2012-11-01,2.24
2012-12-01,2.42
2013-01-01,1.73
2013-02-01,1.81
2013-03-01,1.57
2013-04-01,1.49
2013-05-01,1.12
2013-06-01,1.21
2013-07-01,1.68
2013-08-01,1.85
2013-09-01,2.28
2013-10-01,2.18
2013-11-01,2.47
2013-12-01,1.94
2014-01-01,2.35
2014-02-01,1.92
2014-03-01,2.42
2014-04-01,1.82
2014-05-01,1.54
2014-06-01,2.18
2014-07-01,1.97
2014-08-01,1.61
2014-09-01,1.2
2014-10-01,1.78
2014-11-01,1.64
2014-12-01,1.17
2015-01-01,1.48
2015-02-01,2.15
2015-03-01,1.93
2015-04-01,1.86
2015-05-01,1.74
2015-06-01,1.32
2015-07-01,1.77
2015-08-01,1.69
2015-09-01,1.5
2015-10-01,2.22
2015-11-01,1.81
2015-12-01,1
2016-01-01,1.62
2016-02-01,1.59
2016-03-01,1.28
2016-04-01,1.06
2016-05-01,1.45
2016-06-01,1.99
2016-07-01,1.7
2016-08-01,0.72
2016-09-01,0.76
2016-10-01,1.67
2016-11-01,1.95
2016-12-01,1.46
2017-01-01,1.34
2017-02-01,1.47
2017-03-01,1.69
2017-04-01,2.28
2017-05-01,1.53
2017-06-01,1.23
2017-07-01,1.62
2017-08-01,1.7
2017-09-01,1.35
2017-10-01,1.76
2017-11-01,1.35
2017-12-01,1.56
2018-01-01,0.76
2018-02-01,1.34
2018-03-01,1.07
2018-04-01,1.9
2018-05-01,1.48
2018-06-01,1.17
2018-07-01,1.78
2018-08-01,1.31
2018-09-01,0.44
2018-10-01,1.4
2018-11-01,0.91
2018-12-01,0.46
2019-01-01,0.13
2019-02-01,1.34
2019-03-01,1.47
2019-04-01,0.58
2019-05-01,0.34
2019-06-01,-0.22
2019-07-01,0.52
2019-08-01,1.01
2019-09-01,0.92
2019-10-01,0.81
2019-11-01,0.57
2019-12-01,0.25
2020-01-01,0.51
2020-02-01,0.71
