"Date","KSSLIND"
2013-01-01,1.49
2013-02-01,1.58
2013-03-01,1.36
2013-04-01,0.99
2013-05-01,1.56
2013-06-01,1.5
2013-07-01,1.88
2013-08-01,1.4
2013-09-01,2.08
2013-10-01,1.96
2013-11-01,2.18
2013-12-01,2.05
2014-01-01,2.31
2014-02-01,1.41
2014-03-01,1.66
2014-04-01,1.61
2014-05-01,1.69
2014-06-01,1.39
2014-07-01,1.79
2014-08-01,2.43
2014-09-01,1.6
2014-10-01,1.87
2014-11-01,1.22
2014-12-01,1.33
2015-01-01,0.87
2015-02-01,0.3
2015-03-01,0.51
2015-04-01,0.72
2015-05-01,1.89
2015-06-01,2.12
2015-07-01,2.54
2015-08-01,1.55
2015-09-01,1.6
2015-10-01,1.19
2015-11-01,0.7
2015-12-01,0.98
2016-01-01,1.48
2016-02-01,1.48
2016-03-01,0.56
2016-04-01,0.09
2016-05-01,0.84
2016-06-01,0.08
2016-07-01,0.62
2016-08-01,0.75
2016-09-01,0.98
2016-10-01,1.27
2016-11-01,2.03
2016-12-01,1.35
2017-01-01,1.97
2017-02-01,2.66
2017-03-01,2.28
2017-04-01,1.57
2017-05-01,0.74
2017-06-01,1.23
2017-07-01,1.7
2017-08-01,1.15
2017-09-01,1.54
2017-10-01,1.7
2017-11-01,1.59
2017-12-01,1.68
2018-01-01,2.18
2018-02-01,1.93
2018-03-01,1.48
2018-04-01,2.15
2018-05-01,2.11
2018-06-01,1.59
2018-07-01,1.82
2018-08-01,1.97
2018-09-01,1.52
2018-10-01,1.06
2018-11-01,-0.03
2018-12-01,0.32
2019-01-01,0.69
2019-02-01,0.91
2019-03-01,1.19
2019-04-01,1.57
2019-05-01,1.79
2019-06-01,1.26
2019-07-01,1.3
2019-08-01,1.02
2019-09-01,1.03
2019-10-01,0.76
2019-11-01,1.09
2019-12-01,1.38
2020-01-01,1.26
2020-02-01,1.51
