"Date","MSSLIND"
1999-10-01,0.53
1999-11-01,0.67
1999-12-01,0.82
2000-01-01,0.85
2000-02-01,0.72
2000-03-01,0.84
2000-04-01,0.71
2000-05-01,0.79
2000-06-01,0.67
2000-07-01,0.73
2000-08-01,0.7
2000-09-01,0.48
2000-10-01,0.9
2000-11-01,0.92
2000-12-01,0.82
2001-01-01,0.55
2001-02-01,0.48
2001-03-01,0.54
2001-04-01,0.58
2001-05-01,0.54
2001-06-01,0.65
2001-07-01,0.62
2001-08-01,0.29
2001-09-01,0.1
2001-10-01,0.36
2001-11-01,0.46
2001-12-01,0.39
2002-01-01,0.79
2002-02-01,0.71
2002-03-01,1.15
2002-04-01,1.39
2002-05-01,1.3
2002-06-01,1.2
2002-07-01,0.9
2002-08-01,0.55
2002-09-01,0.76
2002-10-01,0.55
2002-11-01,0.57
2002-12-01,0.97
2003-01-01,1.09
2003-02-01,0.83
2003-03-01,0.71
2003-04-01,0.63
2003-05-01,0.79
2003-06-01,0.69
2003-07-01,1.19
2003-08-01,1.02
2003-09-01,1.28
2003-10-01,1.43
2003-11-01,1.5
2003-12-01,1.5
2004-01-01,1.44
2004-02-01,1.4
2004-03-01,1.37
2004-04-01,1.32
2004-05-01,1.07
2004-06-01,1
2004-07-01,0.87
2004-08-01,0.82
2004-09-01,0.6
2004-10-01,0.47
2004-11-01,0.58
2004-12-01,0.58
2005-01-01,0.87
2005-02-01,1.07
2005-03-01,0.85
2005-04-01,0.8
2005-05-01,0.72
2005-06-01,1.05
2005-07-01,0.79
2005-08-01,0.59
2005-09-01,0.04
2005-10-01,1.43
2005-11-01,2.07
2005-12-01,1.15
2006-01-01,0.66
2006-02-01,0.72
2006-03-01,0.97
2006-04-01,1.19
2006-05-01,1.27
2006-06-01,1.24
2006-07-01,0.68
2006-08-01,1.04
2006-09-01,0.85
2006-10-01,0.73
2006-11-01,0.9
2006-12-01,1.04
2007-01-01,1.02
2007-02-01,0.79
2007-03-01,0.82
2007-04-01,0.87
2007-05-01,0.85
2007-06-01,0.53
2007-07-01,0.43
2007-08-01,0.7
2007-09-01,0.51
2007-10-01,0.63
2007-11-01,0.71
2007-12-01,0.97
2008-01-01,1.16
2008-02-01,0.85
2008-03-01,0.69
2008-04-01,0.67
2008-05-01,0.57
2008-06-01,0.39
2008-07-01,0
2008-08-01,0.03
2008-09-01,0.45
2008-10-01,0.27
2008-11-01,0.18
2008-12-01,0.19
2009-01-01,-0.2
2009-02-01,-0.22
2009-03-01,-0.78
2009-04-01,-0.24
2009-05-01,0.18
2009-06-01,0.63
2009-07-01,0.82
2009-08-01,0.87
2009-09-01,0.72
2009-10-01,0.55
2009-11-01,0.43
2009-12-01,0.18
2010-01-01,0.2
2010-02-01,0.35
2010-03-01,1.33
2010-04-01,1.4
2010-05-01,1.33
2010-06-01,1.39
2010-07-01,1.45
2010-08-01,0.86
2010-09-01,0.46
2010-10-01,0.47
2010-11-01,0.97
2010-12-01,0.83
2011-01-01,0.86
2011-02-01,1.12
2011-03-01,1.35
2011-04-01,1.18
2011-05-01,0.85
2011-06-01,0.62
2011-07-01,0.63
2011-08-01,0.5
2011-09-01,0.72
2011-10-01,0.91
2011-11-01,0.93
2011-12-01,0.8
2012-01-01,1.37
2012-02-01,1.13
2012-03-01,1.3
2012-04-01,1.04
2012-05-01,0.9
2012-06-01,0.94
2012-07-01,1.01
2012-08-01,1.11
2012-09-01,1.46
2012-10-01,1.1
2012-11-01,0.89
2012-12-01,0.84
2013-01-01,0.69
2013-02-01,0.62
2013-03-01,0.75
2013-04-01,0.93
2013-05-01,0.91
2013-06-01,1.04
2013-07-01,1
2013-08-01,0.99
2013-09-01,1.27
2013-10-01,1.01
2013-11-01,0.92
2013-12-01,0.88
2014-01-01,1.16
2014-02-01,0.89
2014-03-01,0.95
2014-04-01,1.18
2014-05-01,0.92
2014-06-01,1.02
2014-07-01,1.16
2014-08-01,1.11
2014-09-01,0.98
2014-10-01,1.13
2014-11-01,1.16
2014-12-01,1.45
2015-01-01,1.08
2015-02-01,1.12
2015-03-01,0.74
2015-04-01,1.04
2015-05-01,1.29
2015-06-01,1.02
2015-07-01,1.05
2015-08-01,1.16
2015-09-01,1.13
2015-10-01,1.14
2015-11-01,1
2015-12-01,1
2016-01-01,1.04
2016-02-01,1.19
2016-03-01,0.96
2016-04-01,0.87
2016-05-01,0.9
2016-06-01,0.7
2016-07-01,1.05
2016-08-01,0.78
2016-09-01,0.82
2016-10-01,0.88
2016-11-01,1.13
2016-12-01,0.92
2017-01-01,1.01
2017-02-01,1.39
2017-03-01,1.37
2017-04-01,1.15
2017-05-01,0.73
2017-06-01,0.93
2017-07-01,0.96
2017-08-01,0.8
2017-09-01,1.12
2017-10-01,0.85
2017-11-01,0.57
2017-12-01,0.63
2018-01-01,0.82
2018-02-01,0.95
2018-03-01,0.99
2018-04-01,0.95
2018-05-01,1.01
2018-06-01,1.35
2018-07-01,0.97
2018-08-01,1.07
2018-09-01,0.76
2018-10-01,0.9
2018-11-01,0.7
2018-12-01,0.36
2019-01-01,0.81
2019-02-01,0.77
2019-03-01,0.68
2019-04-01,0.71
2019-05-01,0.71
2019-06-01,0.72
2019-07-01,0.68
2019-08-01,0.66
2019-09-01,0.67
2019-10-01,0.78
2019-11-01,0.79
2019-12-01,0.82
2020-01-01,1.04
2020-02-01,1.54
