"Date","TNSLIND"
1990-07-01,-0.11
1990-08-01,0.19
1990-09-01,-0.11
1990-10-01,-1.1
1990-11-01,-1.64
1990-12-01,-1.83
1991-01-01,-0.23
1991-02-01,0.5
1991-03-01,1.07
1991-04-01,0.87
1991-05-01,2.04
1991-06-01,3.5
1991-07-01,2.61
1991-08-01,2.14
1991-09-01,2.04
1991-10-01,1.81
1991-11-01,1.41
1991-12-01,0.89
1992-01-01,1.63
1992-02-01,2.7
1992-03-01,3.82
1992-04-01,1.89
1992-05-01,1.35
1992-06-01,2.62
1992-07-01,2.35
1992-08-01,1.35
1992-09-01,1.53
1992-10-01,2.25
1992-11-01,2.03
1992-12-01,1.97
1993-01-01,2.12
1993-02-01,2.5
1993-03-01,2.72
1993-04-01,3.12
1993-05-01,2.71
1993-06-01,2.36
1993-07-01,3.52
1993-08-01,3.21
1993-09-01,3.34
1993-10-01,2.52
1993-11-01,1.78
1993-12-01,1.37
1994-01-01,1.92
1994-02-01,1.69
1994-03-01,2.48
1994-04-01,1.38
1994-05-01,2.64
1994-06-01,2.74
1994-07-01,1.6
1994-08-01,1.31
1994-09-01,2.65
1994-10-01,1.98
1994-11-01,3.29
1994-12-01,2.55
1995-01-01,0.55
1995-02-01,0.16
1995-03-01,-0.18
1995-04-01,-0.65
1995-05-01,-0.38
1995-06-01,0.75
1995-07-01,0.88
1995-08-01,2.55
1995-09-01,2.21
1995-10-01,1.58
1995-11-01,1.82
1995-12-01,1.46
1996-01-01,1.39
1996-02-01,1.06
1996-03-01,1.59
1996-04-01,-0.12
1996-05-01,1.97
1996-06-01,2.76
1996-07-01,1.7
1996-08-01,0.51
1996-09-01,0.48
1996-10-01,-0.42
1996-11-01,-0.43
1996-12-01,0.5
1997-01-01,1.77
1997-02-01,2.4
1997-03-01,2.87
1997-04-01,1.84
1997-05-01,1.82
1997-06-01,1.21
1997-07-01,1.28
1997-08-01,2.06
1997-09-01,2.63
1997-10-01,3.35
1997-11-01,4.07
1997-12-01,2.22
1998-01-01,2.02
1998-02-01,1.44
1998-03-01,1.12
1998-04-01,0.41
1998-05-01,0.97
1998-06-01,1.38
1998-07-01,0.9
1998-08-01,1.17
1998-09-01,1.26
1998-10-01,1.28
1998-11-01,1.38
1998-12-01,2.06
1999-01-01,0.78
1999-02-01,2.03
1999-03-01,1.42
1999-04-01,1.76
1999-05-01,1.3
1999-06-01,1.82
1999-07-01,1.78
1999-08-01,0.77
1999-09-01,1.01
1999-10-01,1.72
1999-11-01,2.6
1999-12-01,1.77
2000-01-01,1.69
2000-02-01,1.19
2000-03-01,0.65
2000-04-01,0.47
2000-05-01,0.09
2000-06-01,1.03
2000-07-01,0.39
2000-08-01,1.06
2000-09-01,1.86
2000-10-01,1.4
2000-11-01,0.38
2000-12-01,0.41
2001-01-01,0.52
2001-02-01,0.77
2001-03-01,-0.46
2001-04-01,-0.57
2001-05-01,0.01
2001-06-01,0.53
2001-07-01,-0.38
2001-08-01,-0.02
2001-09-01,-0.15
2001-10-01,-1.11
2001-11-01,-1.3
2001-12-01,0.05
2002-01-01,2.01
2002-02-01,2.91
2002-03-01,4.25
2002-04-01,4.25
2002-05-01,3.71
2002-06-01,2.6
2002-07-01,3.48
2002-08-01,2.35
2002-09-01,1.27
2002-10-01,1.22
2002-11-01,0.34
2002-12-01,0.22
2003-01-01,0.51
2003-02-01,0.02
2003-03-01,-0.16
2003-04-01,1.15
2003-05-01,0.69
2003-06-01,1.22
2003-07-01,1.85
2003-08-01,2.31
2003-09-01,3.13
2003-10-01,3.51
2003-11-01,3.17
2003-12-01,3.63
2004-01-01,2.94
2004-02-01,2.98
2004-03-01,2.17
2004-04-01,1.12
2004-05-01,1.46
2004-06-01,1.09
2004-07-01,0.88
2004-08-01,1.09
2004-09-01,1.13
2004-10-01,1.55
2004-11-01,0.94
2004-12-01,0.88
2005-01-01,0.43
2005-02-01,2.34
2005-03-01,1.85
2005-04-01,2.58
2005-05-01,2.54
2005-06-01,2.43
2005-07-01,3.09
2005-08-01,2.19
2005-09-01,1.41
2005-10-01,1.14
2005-11-01,1.4
2005-12-01,1.33
2006-01-01,1.88
2006-02-01,1.34
2006-03-01,1.55
2006-04-01,0.3
2006-05-01,-0.24
2006-06-01,0.96
2006-07-01,1.99
2006-08-01,2.1
2006-09-01,1.53
2006-10-01,2.25
2006-11-01,2.9
2006-12-01,2.43
2007-01-01,2.34
2007-02-01,1.39
2007-03-01,1.29
2007-04-01,1
2007-05-01,0.39
2007-06-01,-0.76
2007-07-01,-1.13
2007-08-01,-1.14
2007-09-01,-1.7
2007-10-01,-0.64
2007-11-01,0.78
2007-12-01,0.77
2008-01-01,1.26
2008-02-01,0.02
2008-03-01,-0.65
2008-04-01,-1.14
2008-05-01,-1.29
2008-06-01,-1.7
2008-07-01,-1.12
2008-08-01,0.11
2008-09-01,-0.85
2008-10-01,-1.75
2008-11-01,-2.51
2008-12-01,-3.84
2009-01-01,-4.23
2009-02-01,-4.31
2009-03-01,-3.15
2009-04-01,0.1
2009-05-01,2.03
2009-06-01,2.08
2009-07-01,4.33
2009-08-01,3.27
2009-09-01,3.42
2009-10-01,3.54
2009-11-01,2.44
2009-12-01,2.59
2010-01-01,2.84
2010-02-01,2.65
2010-03-01,3.8
2010-04-01,4.77
2010-05-01,4.33
2010-06-01,3.41
2010-07-01,1.89
2010-08-01,0.59
2010-09-01,-0.39
2010-10-01,0.37
2010-11-01,0.17
2010-12-01,1.11
2011-01-01,1.75
2011-02-01,2.9
2011-03-01,3.22
2011-04-01,2.75
2011-05-01,1.71
2011-06-01,1.94
2011-07-01,1.82
2011-08-01,2.77
2011-09-01,3.57
2011-10-01,3.46
2011-11-01,3.93
2011-12-01,3.01
2012-01-01,3.12
2012-02-01,2.21
2012-03-01,1.49
2012-04-01,0.11
2012-05-01,1.35
2012-06-01,0.87
2012-07-01,2.28
2012-08-01,2.66
2012-09-01,2.53
2012-10-01,1.34
2012-11-01,1.29
2012-12-01,0.76
2013-01-01,0.62
2013-02-01,0.79
2013-03-01,0.84
2013-04-01,2.74
2013-05-01,2.21
2013-06-01,2.26
2013-07-01,2.17
2013-08-01,1.36
2013-09-01,3.15
2013-10-01,3.67
2013-11-01,3.37
2013-12-01,1.95
2014-01-01,3.33
2014-02-01,2.59
2014-03-01,2.21
2014-04-01,1.68
2014-05-01,-0.02
2014-06-01,1.13
2014-07-01,2.02
2014-08-01,3.06
2014-09-01,1.91
2014-10-01,2.36
2014-11-01,2.74
2014-12-01,2.92
2015-01-01,2.18
2015-02-01,1.94
2015-03-01,1.92
2015-04-01,2.51
2015-05-01,2.59
2015-06-01,2.4
2015-07-01,2.31
2015-08-01,2.33
2015-09-01,3.55
2015-10-01,2.73
2015-11-01,2.77
2015-12-01,2.17
2016-01-01,1.88
2016-02-01,2.19
2016-03-01,1.57
2016-04-01,1.09
2016-05-01,1.48
2016-06-01,1.5
2016-07-01,1.3
2016-08-01,1.58
2016-09-01,1.75
2016-10-01,1.59
2016-11-01,2.37
2016-12-01,2.73
2017-01-01,2.41
2017-02-01,3.59
2017-03-01,3.62
2017-04-01,3.14
2017-05-01,1.64
2017-06-01,2.59
2017-07-01,2.03
2017-08-01,0.74
2017-09-01,0.97
2017-10-01,1.33
2017-11-01,1.46
2017-12-01,1.38
2018-01-01,0.63
2018-02-01,1.54
2018-03-01,1.92
2018-04-01,1.57
2018-05-01,1.49
2018-06-01,1.49
2018-07-01,2.11
2018-08-01,1.7
2018-09-01,1.29
2018-10-01,2.09
2018-11-01,1.37
2018-12-01,0.82
2019-01-01,1.4
2019-02-01,1.14
2019-03-01,0.2
2019-04-01,0.64
2019-05-01,1.16
2019-06-01,2.17
2019-07-01,1.45
2019-08-01,1.25
2019-09-01,1.73
2019-10-01,1.32
2019-11-01,0.99
2019-12-01,1.03
2020-01-01,1.93
2020-02-01,1.02
