"Date","ILSLIND"
1997-02-01,1.26
1997-03-01,1.74
1997-04-01,1.47
1997-05-01,1.57
1997-06-01,1.44
1997-07-01,0.75
1997-08-01,0.62
1997-09-01,0.56
1997-10-01,1.27
1997-11-01,1.03
1997-12-01,2.11
1998-01-01,1.75
1998-02-01,1.75
1998-03-01,1.47
1998-04-01,2.12
1998-05-01,1.41
1998-06-01,0.95
1998-07-01,0.9
1998-08-01,0.42
1998-09-01,0.54
1998-10-01,0.96
1998-11-01,1.78
1998-12-01,1.99
1999-01-01,1.16
1999-02-01,1.39
1999-03-01,0.51
1999-04-01,0
1999-05-01,0.28
1999-06-01,0.48
1999-07-01,0.54
1999-08-01,0.96
1999-09-01,1.89
1999-10-01,2.11
1999-11-01,2.09
1999-12-01,1.56
2000-01-01,1.63
2000-02-01,1.16
2000-03-01,0.67
2000-04-01,1.16
2000-05-01,1.24
2000-06-01,0.87
2000-07-01,0.66
2000-08-01,0.54
2000-09-01,0.53
2000-10-01,-0.33
2000-11-01,-0.48
2000-12-01,-0.61
2001-01-01,-0.84
2001-02-01,-0.06
2001-03-01,0.23
2001-04-01,0.35
2001-05-01,0.53
2001-06-01,1
2001-07-01,-0.22
2001-08-01,-0.09
2001-09-01,-0.63
2001-10-01,-1.13
2001-11-01,-1.49
2001-12-01,-0.53
2002-01-01,0.9
2002-02-01,1.04
2002-03-01,0.54
2002-04-01,0.58
2002-05-01,0.96
2002-06-01,1.22
2002-07-01,1.25
2002-08-01,1.25
2002-09-01,2.02
2002-10-01,1.26
2002-11-01,0.44
2002-12-01,0.78
2003-01-01,1.07
2003-02-01,0.92
2003-03-01,-0.08
2003-04-01,0.49
2003-05-01,0.25
2003-06-01,0.29
2003-07-01,0.36
2003-08-01,1
2003-09-01,1.74
2003-10-01,2.17
2003-11-01,2.59
2003-12-01,2.33
2004-01-01,2.1
2004-02-01,1.13
2004-03-01,1.77
2004-04-01,1.52
2004-05-01,2.21
2004-06-01,1.66
2004-07-01,1.94
2004-08-01,1.53
2004-09-01,1.16
2004-10-01,1.27
2004-11-01,1.19
2004-12-01,1.93
2005-01-01,0.95
2005-02-01,1.12
2005-03-01,1.57
2005-04-01,2.39
2005-05-01,1.22
2005-06-01,1.13
2005-07-01,1.92
2005-08-01,1.18
2005-09-01,0.91
2005-10-01,1.51
2005-11-01,2.14
2005-12-01,2.01
2006-01-01,2.56
2006-02-01,2.83
2006-03-01,1.99
2006-04-01,2.02
2006-05-01,0.43
2006-06-01,0.79
2006-07-01,0.68
2006-08-01,0.32
2006-09-01,0.61
2006-10-01,-0.52
2006-11-01,0
2006-12-01,0.67
2007-01-01,0.19
2007-02-01,-0.51
2007-03-01,0.74
2007-04-01,0.54
2007-05-01,0.33
2007-06-01,0.22
2007-07-01,-0.03
2007-08-01,0.01
2007-09-01,-0.22
2007-10-01,-0.16
2007-11-01,-0.09
2007-12-01,0.17
2008-01-01,0.35
2008-02-01,-0.44
2008-03-01,-1.02
2008-04-01,-0.56
2008-05-01,-0.83
2008-06-01,-1.01
2008-07-01,-1.07
2008-08-01,-1.21
2008-09-01,-1.05
2008-10-01,-1.46
2008-11-01,-2.55
2008-12-01,-4.02
2009-01-01,-4.02
2009-02-01,-4.24
2009-03-01,-4.6
2009-04-01,-3.11
2009-05-01,-1.7
2009-06-01,-0.33
2009-07-01,1.39
2009-08-01,0.77
2009-09-01,1.35
2009-10-01,1.05
2009-11-01,1.46
2009-12-01,1.25
2010-01-01,1.87
2010-02-01,2.47
2010-03-01,3.37
2010-04-01,3.58
2010-05-01,3.01
2010-06-01,2.55
2010-07-01,1.64
2010-08-01,1.15
2010-09-01,0.99
2010-10-01,1.08
2010-11-01,1.43
2010-12-01,1.87
2011-01-01,1.78
2011-02-01,1.29
2011-03-01,1.17
2011-04-01,0.92
2011-05-01,-0.51
2011-06-01,-0.52
2011-07-01,0.73
2011-08-01,0.79
2011-09-01,1.83
2011-10-01,1.88
2011-11-01,3.01
2011-12-01,2.48
2012-01-01,3.02
2012-02-01,1.42
2012-03-01,1.64
2012-04-01,0.44
2012-05-01,0.18
2012-06-01,0.8
2012-07-01,1.16
2012-08-01,1.43
2012-09-01,1.62
2012-10-01,0.37
2012-11-01,0.6
2012-12-01,0.43
2013-01-01,0.71
2013-02-01,0.68
2013-03-01,1.49
2013-04-01,1.87
2013-05-01,1.21
2013-06-01,1.46
2013-07-01,0.98
2013-08-01,0.82
2013-09-01,1.33
2013-10-01,2.15
2013-11-01,2.2
2013-12-01,2.39
2014-01-01,2.34
2014-02-01,2.16
2014-03-01,2.83
2014-04-01,2.67
2014-05-01,2.68
2014-06-01,2.22
2014-07-01,2.24
2014-08-01,1.96
2014-09-01,1.55
2014-10-01,1.97
2014-11-01,1.36
2014-12-01,2.23
2015-01-01,1.17
2015-02-01,0.33
2015-03-01,0.29
2015-04-01,0.77
2015-05-01,1.57
2015-06-01,1.47
2015-07-01,1.22
2015-08-01,0.76
2015-09-01,1.07
2015-10-01,1.09
2015-11-01,0.43
2015-12-01,0.87
2016-01-01,0.6
2016-02-01,0.82
2016-03-01,1.01
2016-04-01,1.53
2016-05-01,1.72
2016-06-01,1.05
2016-07-01,1.54
2016-08-01,1.46
2016-09-01,0.72
2016-10-01,1.4
2016-11-01,1.9
2016-12-01,1.68
2017-01-01,1.49
2017-02-01,2.43
2017-03-01,1.81
2017-04-01,1.09
2017-05-01,1.28
2017-06-01,1.37
2017-07-01,0.35
2017-08-01,1.29
2017-09-01,1.74
2017-10-01,1.72
2017-11-01,1.94
2017-12-01,2.02
2018-01-01,1.51
2018-02-01,1.74
2018-03-01,1.41
2018-04-01,1.57
2018-05-01,1.37
2018-06-01,1.46
2018-07-01,1.39
2018-08-01,1.79
2018-09-01,1.86
2018-10-01,0.84
2018-11-01,0.43
2018-12-01,0.14
2019-01-01,1.3
2019-02-01,1.99
2019-03-01,1.5
2019-04-01,1.64
2019-05-01,1.48
2019-06-01,1.22
2019-07-01,1.17
2019-08-01,0.75
2019-09-01,1.23
2019-10-01,0.52
2019-11-01,0.34
2019-12-01,0.84
2020-01-01,2.49
2020-02-01,2.43
