"Date","WVSLIND"
1997-07-01,0.55
1997-08-01,0.47
1997-09-01,0.16
1997-10-01,1.23
1997-11-01,2.09
1997-12-01,1.59
1998-01-01,0.7
1998-02-01,0.78
1998-03-01,0.71
1998-04-01,-1.71
1998-05-01,2.41
1998-06-01,1.28
1998-07-01,-0.08
1998-08-01,1.7
1998-09-01,3.71
1998-10-01,0.51
1998-11-01,1.37
1998-12-01,0.52
1999-01-01,-2.15
1999-02-01,-0.95
1999-03-01,-1.85
1999-04-01,-0.54
1999-05-01,1.01
1999-06-01,1.07
1999-07-01,0.73
1999-08-01,2.47
1999-09-01,3.89
1999-10-01,3.84
1999-11-01,3.1
1999-12-01,4.83
2000-01-01,4.83
2000-02-01,4.8
2000-03-01,3.81
2000-04-01,2.96
2000-05-01,0.78
2000-06-01,0.41
2000-07-01,0.57
2000-08-01,-1.72
2000-09-01,-0.31
2000-10-01,1.44
2000-11-01,3.4
2000-12-01,0.89
2001-01-01,1.2
2001-02-01,1.98
2001-03-01,1.86
2001-04-01,0.42
2001-05-01,-0.05
2001-06-01,-0.71
2001-07-01,1.3
2001-08-01,0.02
2001-09-01,-2.51
2001-10-01,-3.27
2001-11-01,-2.56
2001-12-01,-4.18
2002-01-01,-4.46
2002-02-01,-3.08
2002-03-01,-0.66
2002-04-01,-0.5
2002-05-01,0.34
2002-06-01,1.97
2002-07-01,2.62
2002-08-01,1.47
2002-09-01,1.57
2002-10-01,0.6
2002-11-01,-0.05
2002-12-01,-1.97
2003-01-01,-0.04
2003-02-01,-1.36
2003-03-01,0.78
2003-04-01,0.82
2003-05-01,1.29
2003-06-01,1.1
2003-07-01,0.41
2003-08-01,2
2003-09-01,5.42
2003-10-01,3.87
2003-11-01,2.61
2003-12-01,1.23
2004-01-01,3.7
2004-02-01,2.17
2004-03-01,4.75
2004-04-01,2.36
2004-05-01,3.86
2004-06-01,4.74
2004-07-01,4.53
2004-08-01,3.74
2004-09-01,1.2
2004-10-01,1.05
2004-11-01,-1.27
2004-12-01,0.58
2005-01-01,1.64
2005-02-01,2.49
2005-03-01,2.88
2005-04-01,0.51
2005-05-01,0.28
2005-06-01,0.98
2005-07-01,0.99
2005-08-01,-1.72
2005-09-01,1.66
2005-10-01,4.99
2005-11-01,3.77
2005-12-01,5.4
2006-01-01,4.28
2006-02-01,0.39
2006-03-01,-0.9
2006-04-01,-1.38
2006-05-01,-3.8
2006-06-01,-2.3
2006-07-01,-0.58
2006-08-01,2.48
2006-09-01,2.37
2006-10-01,3.64
2006-11-01,6.52
2006-12-01,4.98
2007-01-01,4.6
2007-02-01,2.09
2007-03-01,-0.12
2007-04-01,1.19
2007-05-01,0.13
2007-06-01,-3.24
2007-07-01,-1.27
2007-08-01,-0.63
2007-09-01,-2.17
2007-10-01,0.8
2007-11-01,1.68
2007-12-01,3.52
2008-01-01,3.72
2008-02-01,2.43
2008-03-01,1.37
2008-04-01,2.45
2008-05-01,3.91
2008-06-01,1.68
2008-07-01,2.53
2008-08-01,-1.36
2008-09-01,-1.7
2008-10-01,-5.49
2008-11-01,-8.69
2008-12-01,-10.32
2009-01-01,-8.42
2009-02-01,-10.71
2009-03-01,-11.97
2009-04-01,-8.64
2009-05-01,-4.2
2009-06-01,-1.21
2009-07-01,1.17
2009-08-01,3.86
2009-09-01,2.33
2009-10-01,-0.38
2009-11-01,-2.7
2009-12-01,-0.93
2010-01-01,-0.43
2010-02-01,1.54
2010-03-01,4.91
2010-04-01,5.24
2010-05-01,2.97
2010-06-01,2.43
2010-07-01,2
2010-08-01,-0.68
2010-09-01,-2.34
2010-10-01,-1.33
2010-11-01,3.22
2010-12-01,0.87
2011-01-01,2.96
2011-02-01,7.15
2011-03-01,6.79
2011-04-01,3.06
2011-05-01,1.55
2011-06-01,2.88
2011-07-01,0.23
2011-08-01,0.33
2011-09-01,3.81
2011-10-01,3.98
2011-11-01,3.05
2011-12-01,4.67
2012-01-01,2.51
2012-02-01,1.73
2012-03-01,0.33
2012-04-01,-2.92
2012-05-01,-2.82
2012-06-01,-2.33
2012-07-01,0.21
2012-08-01,-2.43
2012-09-01,2.41
2012-10-01,1.77
2012-11-01,2.39
2012-12-01,3.72
2013-01-01,3.28
2013-02-01,3.78
2013-03-01,3.92
2013-04-01,1
2013-05-01,0.66
2013-06-01,1.52
2013-07-01,0.64
2013-08-01,-0.05
2013-09-01,0.43
2013-10-01,-1.19
2013-11-01,-1.7
2013-12-01,0.63
2014-01-01,0.01
2014-02-01,3.69
2014-03-01,2.95
2014-04-01,4.66
2014-05-01,2.01
2014-06-01,3.27
2014-07-01,1
2014-08-01,2.84
2014-09-01,0.47
2014-10-01,0.11
2014-11-01,0.18
2014-12-01,0.71
2015-01-01,-1.96
2015-02-01,-4.61
2015-03-01,-3.74
2015-04-01,-1.05
2015-05-01,2.04
2015-06-01,0.49
2015-07-01,2.94
2015-08-01,5.54
2015-09-01,3.33
2015-10-01,1.23
2015-11-01,1.23
2015-12-01,0.3
2016-01-01,0.33
2016-02-01,0.29
2016-03-01,1.41
2016-04-01,2.95
2016-05-01,4.33
2016-06-01,0.45
2016-07-01,1.08
2016-08-01,2.37
2016-09-01,2.12
2016-10-01,2.37
2016-11-01,3.35
2016-12-01,4.72
2017-01-01,5.68
2017-02-01,4
2017-03-01,2.92
2017-04-01,2.96
2017-05-01,0.54
2017-06-01,-2.75
2017-07-01,-0.19
2017-08-01,-0.36
2017-09-01,1.26
2017-10-01,1.22
2017-11-01,0.46
2017-12-01,-0.4
2018-01-01,1.36
2018-02-01,2.66
2018-03-01,2.61
2018-04-01,2.19
2018-05-01,4.94
2018-06-01,4.38
2018-07-01,3.71
2018-08-01,3.88
2018-09-01,2.02
2018-10-01,3.37
2018-11-01,0.97
2018-12-01,1.87
2019-01-01,0.48
2019-02-01,2.35
2019-03-01,0.32
2019-04-01,2.28
2019-05-01,0.69
2019-06-01,0.03
2019-07-01,-1.72
2019-08-01,-2.32
2019-09-01,-2.02
2019-10-01,-2.5
2019-11-01,0.14
2019-12-01,0.61
2020-01-01,2.76
2020-02-01,3.47
