"Date","OKSLIND"
2002-12-01,0.23
2003-01-01,0.36
2003-02-01,0.45
2003-03-01,0.3
2003-04-01,0.41
2003-05-01,0.33
2003-06-01,0.55
2003-07-01,1.08
2003-08-01,1.18
2003-09-01,1.58
2003-10-01,1.78
2003-11-01,1.76
2003-12-01,1.43
2004-01-01,1.82
2004-02-01,1.78
2004-03-01,2.23
2004-04-01,1.55
2004-05-01,1.83
2004-06-01,1.87
2004-07-01,1.78
2004-08-01,1.78
2004-09-01,1.44
2004-10-01,1.65
2004-11-01,1.17
2004-12-01,1.34
2005-01-01,0.94
2005-02-01,1.37
2005-03-01,1.73
2005-04-01,1.59
2005-05-01,1.2
2005-06-01,1.2
2005-07-01,1.4
2005-08-01,1.46
2005-09-01,1.8
2005-10-01,1.77
2005-11-01,1.98
2005-12-01,2.02
2006-01-01,1.99
2006-02-01,1.65
2006-03-01,1.64
2006-04-01,1.11
2006-05-01,1.62
2006-06-01,1.14
2006-07-01,1
2006-08-01,1.12
2006-09-01,1.02
2006-10-01,0.55
2006-11-01,0.78
2006-12-01,1.17
2007-01-01,1.09
2007-02-01,1.3
2007-03-01,1.15
2007-04-01,0.94
2007-05-01,1.43
2007-06-01,1.44
2007-07-01,1.45
2007-08-01,1.35
2007-09-01,1.39
2007-10-01,1.76
2007-11-01,1.73
2007-12-01,1.6
2008-01-01,2.05
2008-02-01,1.66
2008-03-01,1.51
2008-04-01,0.64
2008-05-01,0.67
2008-06-01,0.24
2008-07-01,0.39
2008-08-01,0.31
2008-09-01,0.46
2008-10-01,-0.37
2008-11-01,-0.87
2008-12-01,-1.03
2009-01-01,-1.77
2009-02-01,-1.9
2009-03-01,-2.24
2009-04-01,-1.33
2009-05-01,-0.25
2009-06-01,0.23
2009-07-01,0.9
2009-08-01,0.8
2009-09-01,0.59
2009-10-01,0.74
2009-11-01,0.93
2009-12-01,1.3
2010-01-01,1.16
2010-02-01,1.13
2010-03-01,2.08
2010-04-01,1.7
2010-05-01,1.99
2010-06-01,1.82
2010-07-01,1.41
2010-08-01,1.15
2010-09-01,0.75
2010-10-01,1.07
2010-11-01,1.54
2010-12-01,1.73
2011-01-01,1.8
2011-02-01,1.32
2011-03-01,2.07
2011-04-01,1.92
2011-05-01,1.5
2011-06-01,1.14
2011-07-01,0.79
2011-08-01,0.6
2011-09-01,1.44
2011-10-01,1.22
2011-11-01,1.33
2011-12-01,1.2
2012-01-01,1.49
2012-02-01,1.51
2012-03-01,1.65
2012-04-01,1.53
2012-05-01,1.19
2012-06-01,0.85
2012-07-01,0.66
2012-08-01,0.9
2012-09-01,1.14
2012-10-01,1.42
2012-11-01,0.9
2012-12-01,1.2
2013-01-01,0.88
2013-02-01,1.26
2013-03-01,1.1
2013-04-01,1.06
2013-05-01,1.29
2013-06-01,1.28
2013-07-01,1.1
2013-08-01,1.02
2013-09-01,1.11
2013-10-01,1.23
2013-11-01,1.11
2013-12-01,1.01
2014-01-01,1.62
2014-02-01,1.73
2014-03-01,1.86
2014-04-01,1.68
2014-05-01,1.47
2014-06-01,1.47
2014-07-01,1.45
2014-08-01,1.43
2014-09-01,1.04
2014-10-01,1.33
2014-11-01,1.34
2014-12-01,1.27
2015-01-01,1.03
2015-02-01,0.7
2015-03-01,-0.07
2015-04-01,0.01
2015-05-01,0.7
2015-06-01,0.55
2015-07-01,1.04
2015-08-01,1.25
2015-09-01,1.06
2015-10-01,0.68
2015-11-01,0.55
2015-12-01,0.69
2016-01-01,0.63
2016-02-01,0.51
2016-03-01,0.21
2016-04-01,0.37
2016-05-01,0.53
2016-06-01,0.84
2016-07-01,1.39
2016-08-01,1.27
2016-09-01,0.98
2016-10-01,1.11
2016-11-01,1.34
2016-12-01,1.48
2017-01-01,1.53
2017-02-01,1.98
2017-03-01,2.15
2017-04-01,2.11
2017-05-01,1.37
2017-06-01,1.69
2017-07-01,1.23
2017-08-01,1.42
2017-09-01,1.56
2017-10-01,1.48
2017-11-01,1.38
2017-12-01,1.61
2018-01-01,1.78
2018-02-01,1.83
2018-03-01,2.25
2018-04-01,1.87
2018-05-01,2.11
2018-06-01,2.22
2018-07-01,2.01
2018-08-01,2.02
2018-09-01,1.59
2018-10-01,1.5
2018-11-01,1.29
2018-12-01,1.02
2019-01-01,0.8
2019-02-01,0.97
2019-03-01,1.28
2019-04-01,1.24
2019-05-01,0.97
2019-06-01,0.84
2019-07-01,0.96
2019-08-01,1.06
2019-09-01,1.39
2019-10-01,1.03
2019-11-01,0.87
2019-12-01,0.97
2020-01-01,1.18
2020-02-01,1.76
