"Date","WASLIND"
1993-02-01,2.43
1993-03-01,2.11
1993-04-01,2.44
1993-05-01,2.55
1993-06-01,2.31
1993-07-01,1.93
1993-08-01,2.18
1993-09-01,2.46
1993-10-01,2.53
1993-11-01,2.54
1993-12-01,2.08
1994-01-01,2.35
1994-02-01,1.79
1994-03-01,1.49
1994-04-01,1.9
1994-05-01,2.34
1994-06-01,2.92
1994-07-01,2.53
1994-08-01,2.56
1994-09-01,1.96
1994-10-01,1.56
1994-11-01,2.11
1994-12-01,1.99
1995-01-01,1.6
1995-02-01,1.25
1995-03-01,0.48
1995-04-01,0.38
1995-05-01,0.32
1995-06-01,1.37
1995-07-01,1.16
1995-08-01,1.43
1995-09-01,1.58
1995-10-01,1.16
1995-11-01,1.17
1995-12-01,1.71
1996-01-01,2.72
1996-02-01,2.14
1996-03-01,1.93
1996-04-01,2.11
1996-05-01,2.17
1996-06-01,2.19
1996-07-01,2.7
1996-08-01,3.43
1996-09-01,3.05
1996-10-01,2.82
1996-11-01,2.68
1996-12-01,2.62
1997-01-01,2.32
1997-02-01,2.38
1997-03-01,2.52
1997-04-01,2.78
1997-05-01,2.9
1997-06-01,2.95
1997-07-01,2.99
1997-08-01,2.05
1997-09-01,2.38
1997-10-01,1.69
1997-11-01,1.62
1997-12-01,1.45
1998-01-01,1.38
1998-02-01,1.99
1998-03-01,2.01
1998-04-01,1.74
1998-05-01,1.06
1998-06-01,1.13
1998-07-01,0.81
1998-08-01,0.45
1998-09-01,0.92
1998-10-01,0.9
1998-11-01,1.64
1998-12-01,1.66
1999-01-01,2.32
1999-02-01,1.88
1999-03-01,1.84
1999-04-01,0.76
1999-05-01,1.25
1999-06-01,1.7
1999-07-01,1.41
1999-08-01,2.13
1999-09-01,2.28
1999-10-01,2.18
1999-11-01,1.62
1999-12-01,1.73
2000-01-01,1.34
2000-02-01,1.15
2000-03-01,0.92
2000-04-01,1.34
2000-05-01,1.28
2000-06-01,1.16
2000-07-01,0.38
2000-08-01,0.57
2000-09-01,0.83
2000-10-01,1.23
2000-11-01,0.68
2000-12-01,0.9
2001-01-01,0.05
2001-02-01,-0.44
2001-03-01,-0.19
2001-04-01,0.02
2001-05-01,0.01
2001-06-01,0.15
2001-07-01,0.15
2001-08-01,-0.13
2001-09-01,-0.63
2001-10-01,-0.72
2001-11-01,-1.03
2001-12-01,-0.61
2002-01-01,0.58
2002-02-01,1.01
2002-03-01,1.53
2002-04-01,2.03
2002-05-01,2.03
2002-06-01,2.55
2002-07-01,2.73
2002-08-01,2.16
2002-09-01,1.5
2002-10-01,1.54
2002-11-01,1.83
2002-12-01,1.65
2003-01-01,1.32
2003-02-01,1.21
2003-03-01,0.96
2003-04-01,1.18
2003-05-01,0.78
2003-06-01,1.22
2003-07-01,1.58
2003-08-01,2.37
2003-09-01,2.6
2003-10-01,2.64
2003-11-01,2.8
2003-12-01,3.46
2004-01-01,3.14
2004-02-01,2.58
2004-03-01,3.22
2004-04-01,3.06
2004-05-01,3
2004-06-01,3.3
2004-07-01,3.06
2004-08-01,2.45
2004-09-01,1.91
2004-10-01,2.28
2004-11-01,2.12
2004-12-01,2.41
2005-01-01,2
2005-02-01,2.44
2005-03-01,2.04
2005-04-01,2.37
2005-05-01,1.84
2005-06-01,1.6
2005-07-01,1.57
2005-08-01,2.3
2005-09-01,2.17
2005-10-01,2.53
2005-11-01,2.88
2005-12-01,2.82
2006-01-01,2.6
2006-02-01,2.46
2006-03-01,1.77
2006-04-01,1.51
2006-05-01,0.55
2006-06-01,0.95
2006-07-01,1.2
2006-08-01,1.45
2006-09-01,1.46
2006-10-01,1.42
2006-11-01,1.85
2006-12-01,2.16
2007-01-01,2.27
2007-02-01,2.49
2007-03-01,2.61
2007-04-01,2.02
2007-05-01,1.67
2007-06-01,1.61
2007-07-01,0.7
2007-08-01,0.95
2007-09-01,0.64
2007-10-01,1.11
2007-11-01,1.68
2007-12-01,1.18
2008-01-01,0.93
2008-02-01,1
2008-03-01,0.56
2008-04-01,0.23
2008-05-01,0.31
2008-06-01,-0.07
2008-07-01,-0.49
2008-08-01,-0.3
2008-09-01,-0.55
2008-10-01,-1.87
2008-11-01,-2.47
2008-12-01,-3.1
2009-01-01,-3.08
2009-02-01,-3.18
2009-03-01,-2.69
2009-04-01,-3.38
2009-05-01,-2.25
2009-06-01,-1.47
2009-07-01,-0.8
2009-08-01,-0.98
2009-09-01,-0.93
2009-10-01,0.27
2009-11-01,1.43
2009-12-01,1.61
2010-01-01,1.97
2010-02-01,2.09
2010-03-01,2.89
2010-04-01,2.68
2010-05-01,2.81
2010-06-01,2.51
2010-07-01,2.31
2010-08-01,1.5
2010-09-01,1.13
2010-10-01,1.57
2010-11-01,2.38
2010-12-01,2.59
2011-01-01,2.84
2011-02-01,2.67
2011-03-01,2.13
2011-04-01,2.32
2011-05-01,1.74
2011-06-01,1.49
2011-07-01,1.9
2011-08-01,2.13
2011-09-01,2.56
2011-10-01,3.04
2011-11-01,3.24
2011-12-01,2.89
2012-01-01,2.89
2012-02-01,2.91
2012-03-01,2.23
2012-04-01,2.58
2012-05-01,2.09
2012-06-01,2.53
2012-07-01,2.72
2012-08-01,3.41
2012-09-01,3.46
2012-10-01,3.35
2012-11-01,3.24
2012-12-01,3.18
2013-01-01,2.3
2013-02-01,2.4
2013-03-01,1.89
2013-04-01,2.22
2013-05-01,2.32
2013-06-01,1.91
2013-07-01,2.09
2013-08-01,2.01
2013-09-01,2.31
2013-10-01,2.6
2013-11-01,2.96
2013-12-01,2.71
2014-01-01,2.97
2014-02-01,2.38
2014-03-01,2.56
2014-04-01,2.34
2014-05-01,1.92
2014-06-01,2.47
2014-07-01,2.35
2014-08-01,2.75
2014-09-01,2.21
2014-10-01,1.8
2014-11-01,2.29
2014-12-01,2.82
2015-01-01,2.31
2015-02-01,2.39
2015-03-01,2.2
2015-04-01,1.83
2015-05-01,1.78
2015-06-01,2.19
2015-07-01,2.04
2015-08-01,1.74
2015-09-01,1.57
2015-10-01,1.71
2015-11-01,1.63
2015-12-01,2.32
2016-01-01,2.28
2016-02-01,2.07
2016-03-01,2.4
2016-04-01,2.12
2016-05-01,1.8
2016-06-01,2.24
2016-07-01,1.97
2016-08-01,2.07
2016-09-01,2.44
2016-10-01,1.97
2016-11-01,2.48
2016-12-01,2.63
2017-01-01,2.21
2017-02-01,2.51
2017-03-01,2.06
2017-04-01,2.41
2017-05-01,1.96
2017-06-01,1.71
2017-07-01,1.53
2017-08-01,1.56
2017-09-01,1.82
2017-10-01,2.22
2017-11-01,1.68
2017-12-01,1.71
2018-01-01,1.54
2018-02-01,2.26
2018-03-01,1.86
2018-04-01,1.58
2018-05-01,2.02
2018-06-01,1.75
2018-07-01,1.38
2018-08-01,1.13
2018-09-01,1.25
2018-10-01,1.33
2018-11-01,0.77
2018-12-01,0.83
2019-01-01,1.34
2019-02-01,0.45
2019-03-01,0.91
2019-04-01,1.57
2019-05-01,2.33
2019-06-01,2.44
2019-07-01,2.86
2019-08-01,2.34
2019-09-01,1.88
2019-10-01,2.08
2019-11-01,1.82
2019-12-01,1.52
2020-01-01,1.71
2020-02-01,2.33
