"Date","AKSLIND"
1990-03-01,1.11
1990-04-01,1.01
1990-05-01,0.68
1990-06-01,1.03
1990-07-01,0.48
1990-08-01,0.41
1990-09-01,0.3
1990-10-01,0.31
1990-11-01,0.9
1990-12-01,0.6
1991-01-01,-0.29
1991-02-01,-0.59
1991-03-01,-0.73
1991-04-01,-0.48
1991-05-01,0.03
1991-06-01,-0.27
1991-07-01,-0.11
1991-08-01,-0.14
1991-09-01,-0.21
1991-10-01,-0.07
1991-11-01,0.1
1991-12-01,0.36
1992-01-01,0.21
1992-02-01,0.57
1992-03-01,0.73
1992-04-01,0.63
1992-05-01,0.75
1992-06-01,0.78
1992-07-01,0.88
1992-08-01,0.79
1992-09-01,1.3
1992-10-01,0.89
1992-11-01,1.25
1992-12-01,1.63
1993-01-01,1.73
1993-02-01,1.25
1993-03-01,1.28
1993-04-01,1.13
1993-05-01,0.72
1993-06-01,0.69
1993-07-01,0.71
1993-08-01,0.93
1993-09-01,0.78
1993-10-01,1.2
1993-11-01,0.79
1993-12-01,0.43
1994-01-01,0.72
1994-02-01,0.96
1994-03-01,0.72
1994-04-01,0.18
1994-05-01,0.71
1994-06-01,1.16
1994-07-01,1.34
1994-08-01,1.41
1994-09-01,1.64
1994-10-01,1.13
1994-11-01,1.11
1994-12-01,1.09
1995-01-01,0.88
1995-02-01,1.22
1995-03-01,0.72
1995-04-01,0.84
1995-05-01,0.71
1995-06-01,0.63
1995-07-01,0.34
1995-08-01,0.25
1995-09-01,0.09
1995-10-01,0.04
1995-11-01,-0.19
1995-12-01,0
1996-01-01,0.14
1996-02-01,0.42
1996-03-01,0.58
1996-04-01,0.67
1996-05-01,0.8
1996-06-01,0.73
1996-07-01,0.81
1996-08-01,0.85
1996-09-01,0.39
1996-10-01,0.69
1996-11-01,0.69
1996-12-01,0.38
1997-01-01,0.4
1997-02-01,0.73
1997-03-01,0.99
1997-04-01,1.04
1997-05-01,1.16
1997-06-01,1.31
1997-07-01,1.31
1997-08-01,0.87
1997-09-01,0.88
1997-10-01,1.33
1997-11-01,1.47
1997-12-01,1.08
1998-01-01,1.57
1998-02-01,1.42
1998-03-01,1.01
1998-04-01,0.4
1998-05-01,0.51
1998-06-01,0.44
1998-07-01,0.56
1998-08-01,0.2
1998-09-01,0.52
1998-10-01,0.61
1998-11-01,0.74
1998-12-01,0.45
1999-01-01,0.6
1999-02-01,0.09
1999-03-01,0.44
1999-04-01,0.35
1999-05-01,0.54
1999-06-01,0.62
1999-07-01,0.68
1999-08-01,0.73
1999-09-01,1.12
1999-10-01,1.22
1999-11-01,1.16
1999-12-01,0.89
2000-01-01,0.51
2000-02-01,0.54
2000-03-01,0.84
2000-04-01,0.77
2000-05-01,0.75
2000-06-01,0.42
2000-07-01,0.62
2000-08-01,0.69
2000-09-01,0.37
2000-10-01,0.67
2000-11-01,0.65
2000-12-01,0.94
2001-01-01,0.37
2001-02-01,0.88
2001-03-01,0.58
2001-04-01,0.66
2001-05-01,0.27
2001-06-01,0.21
2001-07-01,0.49
2001-08-01,0.6
2001-09-01,0.1
2001-10-01,0.15
2001-11-01,-0.13
2001-12-01,-0.25
2002-01-01,0.36
2002-02-01,0.77
2002-03-01,0.43
2002-04-01,-0.04
2002-05-01,-0.04
2002-06-01,0.4
2002-07-01,0.75
2002-08-01,0.58
2002-09-01,0.62
2002-10-01,0.87
2002-11-01,0.7
2002-12-01,0.48
2003-01-01,-0.07
2003-02-01,0.34
2003-03-01,0.33
2003-04-01,0.11
2003-05-01,0.31
2003-06-01,0.47
2003-07-01,0.45
2003-08-01,0.63
2003-09-01,1.01
2003-10-01,0.83
2003-11-01,0.72
2003-12-01,0.87
2004-01-01,1.39
2004-02-01,1
2004-03-01,1.51
2004-04-01,1.18
2004-05-01,1.35
2004-06-01,1.26
2004-07-01,1.42
2004-08-01,1.15
2004-09-01,1.2
2004-10-01,1.16
2004-11-01,0.81
2004-12-01,0.76
2005-01-01,0.98
2005-02-01,1.08
2005-03-01,1.03
2005-04-01,1.03
2005-05-01,0.82
2005-06-01,0.74
2005-07-01,0.81
2005-08-01,0.63
2005-09-01,0.58
2005-10-01,0.79
2005-11-01,0.79
2005-12-01,0.61
2006-01-01,0.75
2006-02-01,0.98
2006-03-01,1.19
2006-04-01,1.37
2006-05-01,0.81
2006-06-01,1.08
2006-07-01,0.29
2006-08-01,0.64
2006-09-01,0.62
2006-10-01,0.26
2006-11-01,0.92
2006-12-01,1.06
2007-01-01,1.07
2007-02-01,0.79
2007-03-01,0.5
2007-04-01,0.36
2007-05-01,0.43
2007-06-01,0.29
2007-07-01,0.02
2007-08-01,0.35
2007-09-01,0.5
2007-10-01,0.61
2007-11-01,0.53
2007-12-01,0.5
2008-01-01,0.56
2008-02-01,0.29
2008-03-01,0.12
2008-04-01,0.24
2008-05-01,0.6
2008-06-01,0.51
2008-07-01,0.59
2008-08-01,0.28
2008-09-01,0.29
2008-10-01,0.01
2008-11-01,-0.13
2008-12-01,0.14
2009-01-01,-0.37
2009-02-01,-0.44
2009-03-01,-0.55
2009-04-01,-0.39
2009-05-01,0.06
2009-06-01,0.05
2009-07-01,0.29
2009-08-01,0.38
2009-09-01,0.81
2009-10-01,1.15
2009-11-01,0.66
2009-12-01,0.62
2010-01-01,0.7
2010-02-01,0.64
2010-03-01,1.08
2010-04-01,0.97
2010-05-01,1.22
2010-06-01,1.5
2010-07-01,1.53
2010-08-01,0.81
2010-09-01,0.49
2010-10-01,0.56
2010-11-01,1
2010-12-01,0.57
2011-01-01,0.59
2011-02-01,0.86
2011-03-01,0.96
2011-04-01,1.08
2011-05-01,0.72
2011-06-01,1.07
2011-07-01,0.76
2011-08-01,0.62
2011-09-01,0.81
2011-10-01,0.76
2011-11-01,0.59
2011-12-01,0.46
2012-01-01,0.67
2012-02-01,0.81
2012-03-01,0.71
2012-04-01,0.61
2012-05-01,0.7
2012-06-01,1.03
2012-07-01,0.75
2012-08-01,0.72
2012-09-01,0.73
2012-10-01,0.93
2012-11-01,0.38
2012-12-01,0.34
2013-01-01,0.29
2013-02-01,0.54
2013-03-01,0.54
2013-04-01,0.58
2013-05-01,0.24
2013-06-01,0.6
2013-07-01,0.58
2013-08-01,0.63
2013-09-01,0.66
2013-10-01,0.47
2013-11-01,0.5
2013-12-01,0.56
2014-01-01,0.72
2014-02-01,0.79
2014-03-01,0.89
2014-04-01,0.94
2014-05-01,0.61
2014-06-01,0.31
2014-07-01,0.83
2014-08-01,0.75
2014-09-01,0.71
2014-10-01,1.16
2014-11-01,1.14
2014-12-01,1.27
2015-01-01,0.88
2015-02-01,0.58
2015-03-01,0.51
2015-04-01,0.44
2015-05-01,0.58
2015-06-01,0.24
2015-07-01,0.53
2015-08-01,0.42
2015-09-01,0.59
2015-10-01,0.15
2015-11-01,0.13
2015-12-01,0.14
2016-01-01,0.29
2016-02-01,0.11
2016-03-01,0.22
2016-04-01,0.45
2016-05-01,0.24
2016-06-01,0.13
2016-07-01,0.47
2016-08-01,0.31
2016-09-01,0.08
2016-10-01,0.48
2016-11-01,0.62
2016-12-01,0.61
2017-01-01,0.5
2017-02-01,0.63
2017-03-01,0.66
2017-04-01,0.6
2017-05-01,0.57
2017-06-01,0.75
2017-07-01,0.83
2017-08-01,0.73
2017-09-01,1
2017-10-01,0.65
2017-11-01,0.62
2017-12-01,0.64
2018-01-01,1.1
2018-02-01,1.16
2018-03-01,1.3
2018-04-01,0.82
2018-05-01,1.13
2018-06-01,1.31
2018-07-01,1.12
2018-08-01,1.09
2018-09-01,1.03
2018-10-01,1.23
2018-11-01,1.03
2018-12-01,0.69
2019-01-01,0.89
2019-02-01,0.91
2019-03-01,0.84
2019-04-01,0.69
2019-05-01,0.07
2019-06-01,0.37
2019-07-01,0.68
2019-08-01,0.52
2019-09-01,0.67
2019-10-01,0.63
2019-11-01,0.54
2019-12-01,0.32
2020-01-01,0.74
2020-02-01,2.02
