"Date","PASLIND"
1999-08-01,0.77
1999-09-01,1.36
1999-10-01,1.45
1999-11-01,1.71
1999-12-01,1.98
2000-01-01,1.87
2000-02-01,1.71
2000-03-01,1.69
2000-04-01,1.44
2000-05-01,1.11
2000-06-01,0.36
2000-07-01,0.55
2000-08-01,0.19
2000-09-01,0.36
2000-10-01,0.64
2000-11-01,0.24
2000-12-01,0.32
2001-01-01,0.23
2001-02-01,-0.22
2001-03-01,-0.31
2001-04-01,-0.76
2001-05-01,-0.91
2001-06-01,-0.43
2001-07-01,-0.32
2001-08-01,-0.07
2001-09-01,-0.65
2001-10-01,-0.62
2001-11-01,-0.43
2001-12-01,-0.24
2002-01-01,0.48
2002-02-01,0.77
2002-03-01,1.11
2002-04-01,0.7
2002-05-01,1.26
2002-06-01,1.53
2002-07-01,1.54
2002-08-01,1.16
2002-09-01,0.62
2002-10-01,0.45
2002-11-01,0.12
2002-12-01,-0.3
2003-01-01,0.43
2003-02-01,0.6
2003-03-01,0.74
2003-04-01,0.51
2003-05-01,1.48
2003-06-01,1.29
2003-07-01,0.84
2003-08-01,1.42
2003-09-01,1.23
2003-10-01,1.72
2003-11-01,1.69
2003-12-01,1.41
2004-01-01,1.16
2004-02-01,1.12
2004-03-01,1.56
2004-04-01,1.01
2004-05-01,1.06
2004-06-01,1.21
2004-07-01,1.61
2004-08-01,1.28
2004-09-01,0.98
2004-10-01,1.71
2004-11-01,1.4
2004-12-01,0.95
2005-01-01,1.22
2005-02-01,1.48
2005-03-01,1.15
2005-04-01,1.39
2005-05-01,1.56
2005-06-01,1.88
2005-07-01,1.39
2005-08-01,0.87
2005-09-01,1.21
2005-10-01,0.93
2005-11-01,1.21
2005-12-01,1.25
2006-01-01,1.16
2006-02-01,1.32
2006-03-01,1.23
2006-04-01,0.95
2006-05-01,-0.03
2006-06-01,0.25
2006-07-01,0.51
2006-08-01,1.35
2006-09-01,1.04
2006-10-01,1.33
2006-11-01,1.43
2006-12-01,1.1
2007-01-01,1.1
2007-02-01,0.88
2007-03-01,0.82
2007-04-01,0.29
2007-05-01,0.65
2007-06-01,0.28
2007-07-01,0.11
2007-08-01,-0.05
2007-09-01,0.43
2007-10-01,0.33
2007-11-01,0.45
2007-12-01,0.06
2008-01-01,0.55
2008-02-01,0.46
2008-03-01,0.01
2008-04-01,0.48
2008-05-01,0.57
2008-06-01,0.11
2008-07-01,-0.65
2008-08-01,-0.9
2008-09-01,-1.13
2008-10-01,-1.76
2008-11-01,-2.21
2008-12-01,-2.43
2009-01-01,-3.03
2009-02-01,-3.08
2009-03-01,-2.81
2009-04-01,-2.07
2009-05-01,-1.47
2009-06-01,-0.75
2009-07-01,0.22
2009-08-01,0.37
2009-09-01,0.88
2009-10-01,0.8
2009-11-01,0.56
2009-12-01,0.5
2010-01-01,0.67
2010-02-01,0.4
2010-03-01,1.42
2010-04-01,2.2
2010-05-01,2.91
2010-06-01,2.5
2010-07-01,2.75
2010-08-01,1.71
2010-09-01,1.29
2010-10-01,1.25
2010-11-01,1.81
2010-12-01,1.81
2011-01-01,1.69
2011-02-01,1.29
2011-03-01,1.64
2011-04-01,1.48
2011-05-01,0.7
2011-06-01,0.05
2011-07-01,0.66
2011-08-01,0.71
2011-09-01,1.18
2011-10-01,1.19
2011-11-01,1.71
2011-12-01,1.89
2012-01-01,2.01
2012-02-01,1.54
2012-03-01,1.53
2012-04-01,1.15
2012-05-01,0.31
2012-06-01,-0.02
2012-07-01,0.52
2012-08-01,0.8
2012-09-01,1.08
2012-10-01,0.9
2012-11-01,0.56
2012-12-01,0.86
2013-01-01,0.88
2013-02-01,2
2013-03-01,2.19
2013-04-01,1.85
2013-05-01,1.6
2013-06-01,1.46
2013-07-01,1.42
2013-08-01,1.07
2013-09-01,1.71
2013-10-01,1.87
2013-11-01,2.13
2013-12-01,1.78
2014-01-01,2.31
2014-02-01,1.8
2014-03-01,2.39
2014-04-01,2.34
2014-05-01,2.2
2014-06-01,2.02
2014-07-01,2.07
2014-08-01,1.99
2014-09-01,1.86
2014-10-01,2.19
2014-11-01,1.89
2014-12-01,1.39
2015-01-01,0.8
2015-02-01,0.51
2015-03-01,0.53
2015-04-01,0.74
2015-05-01,1.3
2015-06-01,1.78
2015-07-01,1.29
2015-08-01,1.64
2015-09-01,1.2
2015-10-01,1.43
2015-11-01,1.18
2015-12-01,0.65
2016-01-01,0.8
2016-02-01,0.68
2016-03-01,0.54
2016-04-01,0.86
2016-05-01,0.97
2016-06-01,0.52
2016-07-01,0.89
2016-08-01,1.08
2016-09-01,1.59
2016-10-01,1.18
2016-11-01,1.5
2016-12-01,1.63
2017-01-01,1.56
2017-02-01,1.82
2017-03-01,1.67
2017-04-01,1.3
2017-05-01,1.42
2017-06-01,1.76
2017-07-01,1.35
2017-08-01,0.88
2017-09-01,1.6
2017-10-01,1.19
2017-11-01,0.81
2017-12-01,1.44
2018-01-01,1.2
2018-02-01,1.5
2018-03-01,1.48
2018-04-01,1.77
2018-05-01,1.27
2018-06-01,1.62
2018-07-01,1.01
2018-08-01,0.73
2018-09-01,1.28
2018-10-01,1.33
2018-11-01,0.73
2018-12-01,0.63
2019-01-01,0.86
2019-02-01,0.72
2019-03-01,0.79
2019-04-01,0.67
2019-05-01,0.43
2019-06-01,-0.14
2019-07-01,0.09
2019-08-01,0.37
2019-09-01,-0.07
2019-10-01,0.42
2019-11-01,0.88
2019-12-01,0.65
2020-01-01,0.62
2020-02-01,0.9
