"Date","CPF3M"
2006-05-01,5.05
2006-06-01,5.25
2006-07-01,5.37
2006-08-01,5.29
2006-09-01,5.25
2006-10-01,5.24
2006-11-01,5.24
2006-12-01,5.24
2007-01-01,5.24
2007-02-01,5.23
2007-03-01,5.22
2007-04-01,5.23
2007-05-01,5.23
2007-06-01,5.25
2007-07-01,5.25
2007-08-01,5.3
2007-09-01,5.19
2007-10-01,4.91
2007-11-01,4.75
2007-12-01,4.76
2008-01-01,3.7
2008-02-01,3.03
2008-03-01,2.7
2008-04-01,2.72
2008-05-01,2.61
2008-06-01,2.7
2008-07-01,2.72
2008-08-01,2.76
2008-09-01,2.91
2008-10-01,3.19
2008-11-01,1.54
2008-12-01,1.09
2009-01-01,1.1
2009-02-01,0.67
2009-03-01,0.62
2009-04-01,0.48
2009-05-01,0.37
2009-06-01,0.36
2009-07-01,0.33
2009-08-01,0.29
2009-09-01,0.23
2009-10-01,0.22
2009-11-01,0.19
2009-12-01,0.2
2010-01-01,0.18
2010-02-01,0.2
2010-03-01,0.24
2010-04-01,0.3
2010-05-01,0.44
2010-06-01,0.46
2010-07-01,0.37
2010-08-01,0.27
2010-09-01,0.25
2010-10-01,0.25
2010-11-01,0.25
2010-12-01,0.27
2011-01-01,0.26
2011-02-01,0.25
2011-03-01,0.23
2011-04-01,0.22
2011-05-01,0.18
2011-06-01,0.17
2011-07-01,0.17
2011-08-01,0.21
2011-09-01,0.22
2011-10-01,0.24
2011-11-01,0.21
2011-12-01,0.18
2012-01-01,0.26
2012-02-01,0.21
2012-03-01,0.2
2012-04-01,0.2
2012-05-01,0.2
2012-06-01,0.21
2012-07-01,0.24
2012-08-01,0.19
2012-09-01,0.17
2012-10-01,0.19
2012-11-01,0.21
2012-12-01,0.17
2013-01-01,0.19
2013-02-01,0.16
2013-03-01,0.15
2013-04-01,0.16
2013-05-01,0.14
2013-06-01,0.14
2013-07-01,0.14
2013-08-01,0.12
2013-09-01,0.11
2013-10-01,0.12
2013-11-01,0.12
2013-12-01,0.14
2014-01-01,0.12
2014-02-01,0.13
2014-03-01,0.12
2014-04-01,0.12
2014-05-01,0.11
2014-06-01,0.11
2014-07-01,0.13
2014-08-01,0.13
2014-09-01,0.12
2014-10-01,0.12
2014-11-01,0.13
2014-12-01,0.15
2015-01-01,0.16
2015-02-01,0.15
2015-03-01,0.14
2015-04-01,0.13
2015-05-01,0.15
2015-06-01,0.18
2015-07-01,0.19
2015-08-01,0.26
2015-09-01,0.27
2015-10-01,0.25
2015-11-01,0.3
2015-12-01,0.54
2016-01-01,0.57
2016-02-01,0.54
2016-03-01,0.55
2016-04-01,0.55
2016-05-01,0.57
2016-06-01,0.55
2016-07-01,0.62
2016-08-01,0.73
2016-09-01,0.75
2016-10-01,0.72
2016-11-01,0.71
2016-12-01,0.87
2017-01-01,0.9
2017-02-01,0.87
2017-03-01,0.98
2017-04-01,1.03
2017-05-01,1.05
2017-06-01,1.16
2017-07-01,1.22
2017-08-01,1.25
2017-09-01,1.25
2017-10-01,1.26
2017-11-01,1.32
2017-12-01,1.54
2018-01-01,1.63
2018-02-01,1.78
2018-03-01,2.08
2018-04-01,2.2
2018-05-01,2.16
2018-06-01,2.19
2018-07-01,2.17
2018-08-01,2.19
2018-09-01,2.24
2018-10-01,2.37
2018-11-01,2.56
2018-12-01,2.69
2019-01-01,2.59
2019-02-01,2.49
2019-03-01,2.48
2019-04-01,2.47
2019-05-01,2.44
2019-06-01,2.3
2019-07-01,2.22
2019-08-01,2.06
2019-09-01,2.03
2019-10-01,1.88
2019-11-01,1.77
2019-12-01,1.76
2020-01-01,1.65
2020-02-01,1.59
2020-03-01,1.35
2020-04-01,NA
2020-05-01,0.17
2020-06-01,0.2
2020-07-01,0.18
2020-08-01,0.15
2020-09-01,0.13
2020-10-01,0.12
2020-11-01,0.16
2020-12-01,0.17
2021-01-01,0.14
2021-02-01,0.11
2021-03-01,0.1
2021-04-01,0.11
2021-05-01,0.1
2021-06-01,0.09
2021-07-01,0.1
2021-08-01,0.1
2021-09-01,0.1
2021-10-01,0.11
2021-11-01,0.14
2021-12-01,0.17
2022-01-01,0.22
2022-02-01,0.38
2022-03-01,0.73
2022-04-01,0.91
2022-05-01,1.33
2022-06-01,1.87
2022-07-01,2.5
2022-08-01,2.76
2022-09-01,3.21
2022-10-01,3.85
2022-11-01,4.46
2022-12-01,4.51
2023-01-01,4.61
2023-02-01,4.74
2023-03-01,4.91
2023-04-01,5.03
2023-05-01,5.15
2023-06-01,5.22
2023-07-01,5.35
2023-08-01,5.44
2023-09-01,5.49
2023-10-01,5.46
2023-11-01,5.41
