"Date","RISLIND"
1991-10-01,0.32
1991-11-01,0.04
1991-12-01,0.48
1992-01-01,0.98
1992-02-01,0.49
1992-03-01,1.01
1992-04-01,1.51
1992-05-01,2.65
1992-06-01,2.19
1992-07-01,1.76
1992-08-01,2.18
1992-09-01,3.02
1992-10-01,3.45
1992-11-01,4.27
1992-12-01,3.35
1993-01-01,3.74
1993-02-01,2.8
1993-03-01,2.44
1993-04-01,2.47
1993-05-01,3.01
1993-06-01,2.78
1993-07-01,1.89
1993-08-01,2.29
1993-09-01,1.84
1993-10-01,1.49
1993-11-01,2.36
1993-12-01,2.13
1994-01-01,2.4
1994-02-01,2.56
1994-03-01,2.77
1994-04-01,2.64
1994-05-01,2.65
1994-06-01,2.65
1994-07-01,2.56
1994-08-01,1.89
1994-09-01,1.64
1994-10-01,2.16
1994-11-01,1.54
1994-12-01,0.72
1995-01-01,0.69
1995-02-01,0.73
1995-03-01,0.63
1995-04-01,0.5
1995-05-01,1.53
1995-06-01,1.21
1995-07-01,1.64
1995-08-01,3.28
1995-09-01,2.82
1995-10-01,2.06
1995-11-01,1.74
1995-12-01,2.24
1996-01-01,1.33
1996-02-01,1.91
1996-03-01,2.23
1996-04-01,1.21
1996-05-01,1.57
1996-06-01,2.2
1996-07-01,1.89
1996-08-01,1.41
1996-09-01,1.28
1996-10-01,1.3
1996-11-01,1.46
1996-12-01,1.4
1997-01-01,0.94
1997-02-01,0.93
1997-03-01,1.98
1997-04-01,1.64
1997-05-01,0.87
1997-06-01,0.58
1997-07-01,0.79
1997-08-01,1.7
1997-09-01,1.64
1997-10-01,1.59
1997-11-01,0.94
1997-12-01,1.75
1998-01-01,1.09
1998-02-01,0.76
1998-03-01,1.51
1998-04-01,1.09
1998-05-01,1.63
1998-06-01,1.88
1998-07-01,2.06
1998-08-01,1.04
1998-09-01,1.41
1998-10-01,0.92
1998-11-01,0.82
1998-12-01,0.49
1999-01-01,1.67
1999-02-01,1.45
1999-03-01,1.87
1999-04-01,2.23
1999-05-01,1.24
1999-06-01,0.38
1999-07-01,0.35
1999-08-01,0.96
1999-09-01,1.17
1999-10-01,1.2
1999-11-01,0.47
1999-12-01,0.33
2000-01-01,1.32
2000-02-01,1.21
2000-03-01,1
2000-04-01,0.86
2000-05-01,-0.25
2000-06-01,-0.25
2000-07-01,0.4
2000-08-01,-0.2
2000-09-01,0.83
2000-10-01,1.1
2000-11-01,0.77
2000-12-01,0.46
2001-01-01,-0.64
2001-02-01,-0.08
2001-03-01,-0.44
2001-04-01,-0.71
2001-05-01,-0.76
2001-06-01,-0.57
2001-07-01,-0.32
2001-08-01,0.66
2001-09-01,1.03
2001-10-01,0.48
2001-11-01,0.66
2001-12-01,1.75
2002-01-01,1.66
2002-02-01,1.38
2002-03-01,1.18
2002-04-01,0.62
2002-05-01,0.9
2002-06-01,1.65
2002-07-01,1.09
2002-08-01,0.75
2002-09-01,0.46
2002-10-01,0.6
2002-11-01,0.05
2002-12-01,-0.28
2003-01-01,0.54
2003-02-01,0.22
2003-03-01,0.7
2003-04-01,1.11
2003-05-01,1.39
2003-06-01,2.28
2003-07-01,1.86
2003-08-01,1.4
2003-09-01,1.03
2003-10-01,1.3
2003-11-01,1.5
2003-12-01,1.45
2004-01-01,1.25
2004-02-01,1.14
2004-03-01,1.1
2004-04-01,0.82
2004-05-01,0.73
2004-06-01,1.28
2004-07-01,1.85
2004-08-01,1.37
2004-09-01,1.76
2004-10-01,1.41
2004-11-01,0.9
2004-12-01,0.42
2005-01-01,0.83
2005-02-01,1.02
2005-03-01,0.77
2005-04-01,0.93
2005-05-01,0.66
2005-06-01,0.99
2005-07-01,0.99
2005-08-01,-0.01
2005-09-01,0.39
2005-10-01,0.82
2005-11-01,0.62
2005-12-01,0.42
2006-01-01,0.62
2006-02-01,0.41
2006-03-01,1.24
2006-04-01,1.09
2006-05-01,0.24
2006-06-01,0.1
2006-07-01,1.31
2006-08-01,1.27
2006-09-01,0.64
2006-10-01,1
2006-11-01,0.87
2006-12-01,0.66
2007-01-01,1.21
2007-02-01,0.71
2007-03-01,-0.66
2007-04-01,-0.36
2007-05-01,-0.47
2007-06-01,-1.13
2007-07-01,-1.92
2007-08-01,-1.58
2007-09-01,-2
2007-10-01,-1.42
2007-11-01,-1.81
2007-12-01,-2.23
2008-01-01,-2.33
2008-02-01,-2.17
2008-03-01,-2.89
2008-04-01,-3.59
2008-05-01,-3.5
2008-06-01,-3.23
2008-07-01,-3.48
2008-08-01,-3.43
2008-09-01,-3.13
2008-10-01,-3.98
2008-11-01,-4.55
2008-12-01,-4.52
2009-01-01,-4.4
2009-02-01,-4.05
2009-03-01,-2.95
2009-04-01,-1.22
2009-05-01,-0.17
2009-06-01,0.52
2009-07-01,0.77
2009-08-01,0.82
2009-09-01,1.2
2009-10-01,2.33
2009-11-01,1.52
2009-12-01,0.76
2010-01-01,0.6
2010-02-01,0.74
2010-03-01,0.5
2010-04-01,0.75
2010-05-01,0.63
2010-06-01,1.02
2010-07-01,1.61
2010-08-01,1.26
2010-09-01,1.37
2010-10-01,1.13
2010-11-01,2.24
2010-12-01,1.76
2011-01-01,1.91
2011-02-01,1.57
2011-03-01,1.93
2011-04-01,1.29
2011-05-01,0.88
2011-06-01,0.96
2011-07-01,0.44
2011-08-01,0.83
2011-09-01,0.64
2011-10-01,0.41
2011-11-01,0.9
2011-12-01,1.12
2012-01-01,1.32
2012-02-01,2.96
2012-03-01,3.19
2012-04-01,3.49
2012-05-01,2.99
2012-06-01,2.73
2012-07-01,3.45
2012-08-01,3.03
2012-09-01,2.78
2012-10-01,2.94
2012-11-01,3.96
2012-12-01,3.53
2013-01-01,2.91
2013-02-01,1.98
2013-03-01,2.51
2013-04-01,1.45
2013-05-01,0.9
2013-06-01,0.79
2013-07-01,1
2013-08-01,1
2013-09-01,2.2
2013-10-01,2.07
2013-11-01,2.21
2013-12-01,2.26
2014-01-01,3.48
2014-02-01,3.52
2014-03-01,4.71
2014-04-01,4.95
2014-05-01,4.23
2014-06-01,3.62
2014-07-01,4.66
2014-08-01,4.39
2014-09-01,4.1
2014-10-01,2.92
2014-11-01,3.45
2014-12-01,3.24
2015-01-01,2.71
2015-02-01,2.09
2015-03-01,2.19
2015-04-01,2.57
2015-05-01,2.61
2015-06-01,3.06
2015-07-01,2.87
2015-08-01,2.39
2015-09-01,2.61
2015-10-01,2.83
2015-11-01,2.66
2015-12-01,1.81
2016-01-01,1.9
2016-02-01,1.96
2016-03-01,1.5
2016-04-01,1.23
2016-05-01,0.82
2016-06-01,1.83
2016-07-01,1.36
2016-08-01,1.66
2016-09-01,2.05
2016-10-01,3.3
2016-11-01,2.92
2016-12-01,2.19
2017-01-01,3.13
2017-02-01,2.09
2017-03-01,1.9
2017-04-01,1.17
2017-05-01,0.91
2017-06-01,0.88
2017-07-01,0.87
2017-08-01,0.69
2017-09-01,0.58
2017-10-01,0.17
2017-11-01,0.23
2017-12-01,0.53
2018-01-01,1.58
2018-02-01,1.29
2018-03-01,1.38
2018-04-01,1.54
2018-05-01,1.83
2018-06-01,1.73
2018-07-01,0.57
2018-08-01,1.11
2018-09-01,0.45
2018-10-01,0.13
2018-11-01,-0.12
2018-12-01,1.09
2019-01-01,1.01
2019-02-01,0.58
2019-03-01,0.99
2019-04-01,0.94
2019-05-01,0.41
2019-06-01,0.22
2019-07-01,0.39
2019-08-01,1.36
2019-09-01,0.63
2019-10-01,0.52
2019-11-01,0.41
2019-12-01,0.83
2020-01-01,1.76
2020-02-01,1.86
